name,conExp,conExp_err,regExp,regExp_err
+0.5 35L01,1.286670917,0.390155894,-1.719968006,0.295736218
+0.5 35L02,1.165233033,0.340252754,-2.19795596,0.295541218
+0.5 35L03,-3.118923606,0.070782543,,
+0.5 35L04,-3.538576515,0.424401454,-6.056529392,0.664583651
+0.5 35L05,-2.911236082,0.364555209,-5.73615478,0.392832445
+0.5 35L06,1.067986592,0.143479272,-2.595023907,0.186278956
+0.5 35L07,-2.851453453,0.26013605,-5.647354762,0.191461879
+0.5 35L08,-0.908554356,0.076658784,,
+0.5 35L09,-2.001649772,0.400738978,-5.66796485,0.433227222
+0.5 35L11,-4.010039559,0.196168047,-6.41108994,0.093214155
+0.5 35L12,-1.80688328,0.140723767,-4.750107315,0.21538678
+0.5 35L14,-3.722512134,0.852588953,-5.403899424,0.341817514
+0.5 35L16,1.187836144,0.070131277,,
+0.5 35L17,-2.26174563,0.189874749,-5.078027501,0.141104588
+0.5 35L18,0.128280744,0.217975276,-2.829839618,0.442482554
+0.5 35L19,-0.068722285,0.136029199,-3.072168762,0.326085527
+0.5 35L20,-1.41156367,1.100481493,-4.314951934,0.301887144
+0.5 35L21,-2.131104378,0.240890954,-5.281114824,0.210353812
+0.5 35L22,-3.505781923,0.500125938,-6.058951825,0.597499875
+0.5 35L23,1.20383172,0.21229167,-1.892412407,0.342694185
+0.5 35L24,0.359966384,0.305973435,-2.657554615,0.367152144
+4.5 35L01,-3.13929132,0.053275607,-5.426847496,1.395135964
+4.5 35L02,-2.840255838,0.373761256,-5.057493535,1.232833382
+4.5 35L04,-4.516904954,0.056884554,-4.600446229,0.550924883
+4.5 35L06,-5.785061461,0.130940794,-6.21229566,0.824385194
+4.5 35L07,-1.288886616,0.153872513,-4.074703532,0.30691182
+4.5 35L08,-5.108821311,0.130672138,-6.613824915,0.131558699
+4.5 35L09,-5.318423096,0.191070516,-6.289219191,0.324817176
+4.5 35L10,-5.452761062,0.102549852,-5.617593798,0.22088307
+4.5 35L11,-0.762748146,0.157741201,-3.659991966,0.263432236
+4.5 35L12,-5.737625701,0.289116493,-5.809102262,0.327727205
+4.5 35L13,-6.204202709,1.043575151,-6.686970791,0.693078742
+4.5 35L15,-5.983990979,0.344359497,-6.44349079,0.80935222
+4.5 35L16,-5.390315243,0.258719365,-6.049604673,0.198661745
+4.5 35L17,-5.140144311,0.205675107,-5.335320602,1.395257586
+4.5 35L18,-4.720107258,0.416055236,-6.123864775,0.350050737
+4.5 35L19,-6.010750849,0.123587458,-6.233677777,0.28822122
+4.5 35L20,-5.908641083,0.027131782,-5.250924723,0.80327795
+4.5 35L21,-4.992217286,0.088007995,-5.297250106,0.229348856
+4.5 35L22,-4.440295024,0.063454517,-5.037601864,0.831540441
+4.5 35L23,-6.303366295,0.188527662,-6.44960408,0.798314667
+4.5 35L24,-5.861824894,0.084732464,-6.504714203,0.057531055
