name,conExp,conExp_err,regExp,regExp_err
c41.gal1,-2.482997412,0.236357903,2.319374761,0.100113337
c41.gal2,-2.447719925,0.206726465,2.263182387,0.10538511
c41.gal3,-2.490825206,0.282842147,2.258986871,0.108876693
gal.10L01,-3.825900253,0.102161172,1.336459037,0.048023958
gal.10L02,-2.837675449,0.076910206,1.908082716,0.037086766
gal.10L03,,0.031942946,,0.194019187
gal.10L04,-1.498667121,0.063200762,2.717556881,0.052861096
gal.10L05,-0.534206723,0.089083185,2.654337825,0.176430816
gal.10L06,-0.923382862,0.080206333,2.38307318,0.141097839
gal.10L08,-3.69776633,0.115060453,1.40084047,0.054991963
gal.10L09,-6.298744771,0.400428316,-2.466007914,0.045877097
gal.10L10,-4.866991813,0.148522749,-0.14907899,0.042764716
gal.10L11,-3.716309555,0.050082162,0.727432843,0.148971943
gal.10L12,0.107368421,0.09122054,2.693294411,0.151201044
gal.10L13,-1.36128982,0.0686425,2.486459963,0.131050851
gal.10L14,-5.085885078,0.076463864,-2.282112496,0.034439474
gal.10L15,-1.401281651,0.07263945,2.746713418,0.261906875
gal.10L16,-3.958479322,0.293996796,1.036061582,0.075332578
gal.10L17,-5.648226975,0.048003952,-2.169673715,0.119633894
gal.10L18,-2.800366152,0.284689527,1.735213182,0.109556974
gal.10L19,-4.075715346,0.078921914,0.736278775,0.141212305
gal.10L21,,0.018984288,,0.049577324
gal.10L22,-2.581567922,0.163133534,2.432511688,0.032542484
