Strain #,Yfinal,FCfinal,WeightF,WeightY
1,NaN,NaN,NaN,NaN
2,836.9402735,0.054649389,2.90022454,0.000280587
3,28.3028777,0.955928307,0.42039793,0.001939287
6,420.5637982,0.091669323,3.294351992,0.00029251
12,109.5135931,0.415361344,0.867027408,0.000947717
15,225.7099194,0.133502565,2.750204667,0.000375874
16,404.5264908,0.182342491,1.966852998,0.000828912
22,612.1856199,0.065228412,2.940421738,0.000369106
24,764.6713112,0.063977386,5.700239148,0.000173749
25,833.078336,0.055119532,6.7405874,0.002415798
26,558.6130346,0.063058295,4.130187272,0.000210576
27,1180.455325,0.033312845,13.30658182,0.00018804
28,690.056484,0.060986577,4.637190169,0.000253022
31,154.097385,0.228543459,1.442920204,0.000593069
32,3825.82175,0.019265535,36.64521122,0.000172643
33,231.6437531,0.12763765,3.485525837,0.000398263
34,199.5996911,0.156564646,1.482879402,0.000721405
35,132.2361624,0.244484429,1.179821609,0.000987423
37,989.2392941,0.038442411,9.250601882,0.000260201
38,514.8399762,0.07588708,2.702380587,0.000249947
40,608.5457307,0.056470423,6.839860403,0.000160439
42,566.4547096,0.068202547,4.654919131,0.000330909
43,190.9712697,0.241878604,4.91401808,0.001366112
44,1663.13151,0.025490907,15.75429985,0.000106567
46,234.145641,0.164668501,3.382548702,0.000737408
48,158.1473113,0.177225926,0.921447921,0.000600776
49,1014.567977,0.06334628,6.440646872,0.000305592
51,699.8259792,0.061962616,7.479889941,0.000263581
52,441.07256,0.081227527,5.609769486,0.00055438
54,25059.69922,NaN,110.7523244,NaN
55,287.2331592,0.236012731,20.8346754,0.002737908
57,980.2952444,0.052246344,40.33439039,0.000220756
60,374.9029205,0.082476541,4.228906304,0.00027279
63,211.530303,0.196530659,18.52420086,0.006040193
64,1132.01823,0.048219944,9.965079849,0.000325347
65,951.3868667,0.044114702,8.478274756,0.000221439
66,540.3739377,0.073832443,5.386355461,0.000293184
67,10374.72535,0.027883419,66.08286672,0.000164697
69,893.6829837,0.055083242,20.71149341,0.000431152
70,352.4565888,0.085841411,10.86012918,0.000297863
72,3484.815461,0.036535096,28.38701008,0.000140912
74,587.1179333,0.081384944,4.578282703,0.000396522
76,447.8742919,0.110133853,8.184382448,0.000518769
79,592.958197,0.116948844,4.925171052,0.003066834
80,277.176596,0.201016387,1.665194253,0.0008432
84,401.0277778,0.093935183,1.664000017,0.000366793
86,798.7591371,0.071250542,8.254526629,0.001745654
88,419.4740508,0.117071001,3.062253453,0.000625709
93,916.5522244,0.040093275,8.475538399,0.000210758
95,228.189405,0.161343924,1.902364381,0.001375656
96,921.4302519,0.055611211,3.495170495,0.00019202
