Strain #,Yfinal,FCfinal,WeightF,WeightY
1,30.78624151,0.987718418,0.060962674,0.001964117
2,29.60817074,NaN,0.042018901,NaN
3,31.96029582,NaN,0.0667745,NaN
4,32.92561777,0.938518431,0.068823727,0.003919191
5,43.35262494,0.701258959,0.117951949,0.002331478
6,31.89248114,0.978132406,0.068594204,0.002894768
7,31.307056,NaN,0.050635931,NaN
8,52.29820277,0.57120679,0.201665443,0.001153948
9,30.40906045,1.011417716,0.066370385,0.003391656
10,31.47727195,0.986651725,0.060495046,0.003102024
11,32.06790286,0.942327215,0.068850532,0.003009743
12,30.9176765,0.986747125,0.046659132,0.002518323
13,32.75332571,0.925608791,0.083019475,0.002512434
14,32.87502126,0.933870743,0.069534288,0.002505082
15,31.84457912,0.958957052,0.055254789,0.001994839
16,33.85209982,0.915362158,0.111465236,0.002267406
17,30.47208072,0.993192405,0.049094226,0.003349998
18,31.60820982,0.966598512,0.065072971,0.0037913
19,31.36661604,NaN,0.050710959,NaN
20,37.05130985,NaN,0.080538411,NaN
21,31.94364142,0.959527226,0.069735749,0.027000807
22,31.79600631,NaN,0.051961324,NaN
23,33.17521524,0.930579945,0.068280585,0.00187385
24,32.33415444,0.930809082,0.108774219,0.001790478
25,36.8066223,0.82358892,0.106751927,0.0030977
26,36.9590934,0.816955398,0.067768342,0.003100515
27,67.63363385,0.444857097,0.142651697,0.001094251
28,32.26200596,0.945287091,0.051786995,0.002676348
29,33.79709035,0.908152273,0.087743292,0.002393453
30,30.67662811,1.010471613,0.051425454,0.002406485
31,31.78363367,0.977923177,0.05130235,0.001919709
32,32.12157577,1.006817707,0.093840165,0.001957504
33,30.86185355,0.984044138,0.063567402,0.003265221
34,35.37223455,0.853865045,0.062505211,0.003544406
35,54.61635054,0.53127184,0.152920272,0.017836421
36,30.71373515,0.998984792,0.059810632,0.002453112
37,37.58357994,0.819315186,0.11263835,0.001992548
38,31.62048668,0.977471588,0.058793599,0.001852037
39,32.80587674,0.959471359,0.081267339,0.001722569
40,36.52997658,0.831356019,0.114600555,0.002186842
41,30.53569512,0.994246671,0.073009438,0.002918295
42,36.73097268,0.841671609,0.069823662,0.002468793
43,31.39183924,0.96629417,0.067809566,0.002467266
44,30.19681644,1.001831982,0.060960018,0.002694495
45,31.96674146,0.958051467,0.072485467,0.002697656
46,32.72483034,0.940724599,0.056420033,0.00228216
47,32.89960344,0.937719592,0.103871464,0.001971845
48,32.82920295,0.942153218,0.122226867,0.002232382
