Strain #,Yfinal,FCfinal,WeightF,WeightY
1,53.52836764,0.470035329,0.360274475,0.001530189
2,47.07579847,0.543881787,0.419145061,0.001932751
3,45.92240251,0.561756719,0.592660007,0.002907084
4,49.66550863,0.503274541,0.55503256,0.002165711
5,53.22705882,0.472941085,0.507721591,0.002794758
6,36.53635928,0.666312369,0.296053656,0.003579762
7,30.02079133,0.81078044,0.167387091,0.003760259
8,27.97939297,0.873105707,0.167275624,0.003590174
9,320.6127031,0.091329666,5.162530969,0.000338794
10,72.83297378,0.340587259,0.491463414,0.001118025
11,40.33834435,0.604722129,0.226399321,0.001894951
12,70.25503188,0.346168178,0.682228326,0.001422941
13,44.97253433,0.566396646,0.335662895,0.001489301
14,53.09254529,0.485496911,0.533688662,0.002113873
15,49.36093101,0.517993384,0.586112084,0.001480926
18,28.84648526,0.877751714,0.212672851,0.002784266
19,44.68596427,0.591934742,0.331138516,0.002092431
20,30.67042864,0.887404816,0.181805499,0.003828789
22,42.4566967,0.60694987,0.286674282,0.001661603
23,36.59619535,0.6967026,0.146132301,0.002368431
24,46.57375905,0.552006408,0.36301158,0.001949372
25,48.43925037,0.511255537,0.431033254,0.001311974
27,64.79714995,0.411527672,0.69204385,0.001244387
28,48.03192391,0.568647819,0.292897174,0.002017076
29,463.497295,0.081347569,5.825268811,0.000427797
30,84.90800821,0.540054266,0.766621093,0.002970801
31,34.2905024,0.759616278,0.185947526,0.002783351
32,30.02132565,0.874258344,0.164424613,0.004192425
33,50.1786934,0.531742413,0.547825362,0.001830662
34,46.22867555,0.571851862,0.249082622,0.001671685
35,55.07632836,0.48495082,0.309523655,0.001814521
36,54.07369521,0.49284306,0.442890837,0.001771444
37,63.04259158,0.416329911,0.571917634,0.00124173
38,86.23848797,0.315498969,1.035566901,0.001747973
39,45.49923006,0.568280455,0.433354824,0.001822324
40,29.08058093,0.911674291,0.145083112,0.00342544
41,77.23046453,0.34933943,0.61873376,0.001379881
43,60.41891205,0.446554236,0.467475364,0.002282685
44,36.78877795,0.961720676,0.182200262,0.016382017
45,26.93804761,0.984182371,0.103063373,0.00340476
46,37.81875805,0.702138759,0.157854766,0.002375655
47,49.45879248,0.532539811,0.285515721,0.002165582
48,44.64626983,0.587826932,0.241689145,0.002088803
49,57.16257198,0.475120217,0.516070079,0.001365511
50,60.85208186,0.540137998,0.775293231,0.003499712
51,1733.026458,0.20690417,15.37677432,0.001472095
52,37.85970974,0.711913243,2.26692225,0.005719913
55,48.60513407,0.561389712,0.28603186,0.002395511
57,91.96186823,0.295144751,1.217749601,0.001305886
58,37.09775324,0.697688989,0.143117442,0.002844536
59,76.57992701,0.349763018,0.265936518,0.001503692
60,31.23284788,0.811791817,0.129920622,0.003233674
61,60.37356423,0.439598306,0.569882661,0.001377822
62,64.48482205,0.416723196,0.585646168,0.002764653
63,62.11396304,0.439358256,0.930907083,0.001715941
64,64.87566071,0.430276804,1.094068976,0.002409577
65,74.14035326,0.359081157,0.661807355,0.001750949
66,80.51593625,0.893050195,0.834960922,0.005619542
67,78.27980064,0.375196543,0.919580638,0.00211582
68,36.21216484,0.722393392,0.259057246,0.004469428
69,46.08094056,0.583157249,0.330177994,0.002301718
71,198.2792626,0.132478586,1.390524603,0.000526081
72,70.84338055,0.374740625,0.793165125,0.001692132
75,50.30279526,0.536803199,1.246527396,0.002805078
77,755.096602,0.069089542,10.32143322,0.000570918
78,53.90583926,0.501074657,0.901132456,0.003109151
81,87.12377663,0.311749933,1.017346082,0.001199707
82,39.88887234,0.671962124,0.186273944,0.002755735
83,30.97232884,0.833663038,0.13363066,0.004138697
84,31.51144566,0.841085679,0.212830111,0.003368744
85,79.00882748,0.337105182,0.753102483,0.001258027
86,35.11982484,0.851331025,0.245273825,0.00797176
88,28.31284004,0.926412444,0.17323688,0.005741402
89,351.0736827,0.102608635,5.406429609,0.000940084
91,57.76413255,0.465361613,0.882220354,0.002330708
92,40.20876695,0.677087554,0.485982096,0.004556409
93,87.05711022,0.300399724,1.650987802,0.001738732
94,46.19566124,0.560696317,0.281777441,0.003347677
