Strain number,Yfinal,FCfinal,WeightF,WeightY
1,517.5569417,14.43122733,3.541238592,0.057279466
2,486.0002222,9.510948559,3.667882772,0.057916991
3,10630.08969,1.303664941,54.54797104,0.006261228
4,12002.47639,1.172548557,61.44306833,0.006197721
5,710.9626303,13.88882463,2.093104346,0.056150193
7,91.15397266,116.1836865,0.468154387,0.297637233
8,705.6475219,22.07994959,2.151829644,0.171959776
9,6074.921327,1.86773233,37.88051597,0.008438153
10,288.8757038,27.94945745,3.923104157,0.114870046
11,1151.401119,7.495176186,4.767291197,0.025198641
12,310.9840926,28.57496707,1.650144536,0.134435765
13,325.1432882,24.00479436,1.119918981,0.095684795
14,483.1803797,11.22118281,76.54558242,0.067932681
15,10406.28559,1.47440424,55.98847776,0.012867321
16,437.4144194,16.46837033,9.037130358,0.114014109
17,750.1971957,25.47174885,3.617717369,0.211410519
18,1122.282493,12.31323466,7.895448445,0.12079319
19,8813.192464,3.110136886,53.40708621,0.021992033
20,2586.739383,1.922267166,21.51381515,0.019290096
21,1257.737308,3.602356784,9.875449849,0.031268354
22,292.9595033,14.26172364,5.537290373,0.179387092
23,358.5219137,12.10936519,5.217587753,0.073317581
24,328.5004759,28.07670282,1.989935781,0.207044402
25,446.6793912,44.72965162,3.83468752,0.317803839
26,775.7720392,18.65474964,4.588917334,0.20769586
27,189.141182,38.4801523,0.86298348,0.575769124
28,428.1590106,18.28096348,76.12625746,0.118396306
29,236.1693179,118.0274588,1.600837106,1.6144729
30,12139.23942,0.969587152,85.03866931,0.009197599
31,865.1115103,8.630785466,7.23146414,0.043963535
32,569.6372357,9.972497727,5.557325073,0.066136016
33,155.8097977,27.81404213,4.099810259,0.27150534
34,8250.706066,1.562187252,64.56803503,0.013864281
35,577.0160901,12.52897169,11.07604467,0.082190558
36,313.4707204,28.28597721,2.423691115,0.172597171
37,232.9751019,49.81248204,1.49075991,0.353851064
38,631.63,24.73000405,150.7892515,0.216903365
39,852.5739077,9.112317888,4.6314086,0.065543871
40,729.5672208,19.59727344,6.022334037,0.154008414
41,112.3368687,68.77365361,2.29617732,0.516493174
42,1747.7629,4.428968009,13.00074368,0.02909951
44,12738.43971,1.235454583,102.9081625,0.011374389
45,456.6127154,21.74127869,9.583644699,0.175771894
46,1044.709091,7.299278442,11.92484625,0.052855279
47,576.7977811,15.31457975,3.843644955,0.127138186
48,360.8736338,23.3908011,2.692316397,0.19541518
49,2501.448829,2.154006204,15.69362944,0.018188686
50,1486.592379,4.675238339,10.25654864,0.051283709
51,271.8356773,32.9936213,3.513003879,0.350985523
52,405.8397091,24.87273047,0.97792945,0.218829724
53,21774.15206,1.244488873,154.7321071,0.010660803
54,16288.49053,1.301431526,67.9771644,0.015824089
55,470.6906564,20.61536143,22.38756161,0.139708477
56,643.4745827,11.58582727,8.474291218,0.090373703
57,158.4155748,39.22591598,4.921011859,0.322634071
59,22065.67036,1.0975684,145.0124599,0.010028394
60,761.3462796,11.62825313,30.33320066,0.108698724
62,238.9662118,48.55182547,4.853593665,0.900575975
63,808.4081229,13.24649916,5.850613751,0.109591052
64,211.8800127,34.71571883,5.496884802,0.241422436
65,704.9493824,14.12408202,4.944524298,0.081139361
66,37.74340369,1.382094633,1.33947905,0.128035419
67,1088.126042,4.252269203,6.856929532,0.026471193
68,353.8360235,19.8420462,5.694793358,0.093325749
69,249.9070457,24.75383026,6.331054053,0.126989879
70,100.7682945,55.04271876,2.391036449,0.405783321
71,514.3102682,14.76967693,4.433846994,0.11572764
72,583.9788704,14.00768384,3.924371132,0.10511623
73,163.3716741,31.51461368,2.516724005,0.366871088
74,175.9969455,30.14872979,0.363110623,0.278726525
75,201.4469274,56.27026676,26.05244188,0.646169605
76,11736.75499,1.166808917,91.66480042,0.01283396
77,165.4588902,28.37803502,8.664051141,0.321746867
78,9637.497399,1.434206794,48.81227021,0.022128829
79,244.0347173,23.57512202,9.432651056,0.205606984
80,189.8260191,24.88880577,3.78637799,0.198412357
81,1591.723082,2.925202299,7.07949212,0.034021168
82,249.5274368,21.94706975,2.438803406,0.296220204
83,209.0989546,82.33587206,1.153923243,0.869776521
84,1994.686422,2.494740218,8.272507961,0.032105819
85,640.8799161,21.20429351,3.063358996,0.189464497
86,4568.133807,3.182619001,24.92260603,0.023898087
87,186.4886502,20.86261607,5.988285235,0.296395347
88,1163.827901,6.382411045,7.462732933,0.060613867
89,201.6083007,37.085298,3.609087671,0.445554156
90,8480.53496,1.505828615,77.41427042,0.016581274
92,369.1410807,16.40952213,6.510375819,0.182249247
93,581.9135847,15.85568237,4.171540781,0.193670059
94,159.9062007,35.7492922,6.178145984,0.383704498
95,674.3781148,14.42518388,3.827078274,0.124475596
96,745.7646837,12.323396,3.922225476,0.101419766
