Strain number,Yfinal,FCfinal,WeightF,WeightY
1,485.3573089,16.59714153,2.609196314,0.140930742
2,581.6506774,10.25384727,4.505011957,0.154568438
3,8566.377492,1.688571989,60.80140675,0.012364362
4,9761.806835,1.52768581,72.62238309,0.011423141
5,898.4976759,6.747735056,6.144497799,0.062032953
7,142.4398383,44.11181283,2.596962294,0.380768139
8,817.0146979,7.680392936,5.273874396,0.091198631
9,5628.635551,2.074077994,34.31510715,0.01650105
10,343.4036092,25.51141292,4.462227462,0.306025793
11,950.1497175,9.265735354,6.256916738,0.104649724
12,320.9595164,34.32229494,2.293828296,0.447742888
13,313.1436391,26.21169546,1.796259268,0.226380869
14,NaN,NaN,NaN,NaN
15,7981.578959,1.794254716,51.54994387,0.01422846
16,348.8640311,22.31495822,6.183309372,0.218954666
17,618.3960303,30.95658331,4.59149568,0.205883437
18,869.189586,12.94830897,4.825517529,0.082587574
19,8509.246804,1.669943425,47.01628396,0.012060223
20,2238.148805,2.16012289,17.51521524,0.01675483
21,1510.45643,3.054969399,10.22751732,0.025464408
22,293.28658,11.80699605,5.32479325,0.108495619
23,413.8656913,9.810628284,3.488907095,0.09016938
24,308.3811974,31.66010556,2.067966498,0.312663379
25,456.8693957,40.99861129,2.817060386,0.314691865
26,628.8853565,16.40930656,3.23581373,0.175571946
27,157.9099943,37.54913626,1.038116587,0.564210929
28,NaN,NaN,NaN,NaN
29,223.0449434,32.58910372,1.225555977,0.346805145
30,10650.00329,0.938509581,49.97061673,0.008014567
31,625.0593332,10.82387051,5.09452752,0.081806412
32,516.8585643,9.802837222,3.415513431,0.07433473
33,145.718283,25.68734013,1.685335952,0.259574783
34,7749.6,1.418208614,50.84902271,0.010408266
35,460.7202511,14.29686942,6.089062862,0.112685976
36,302.9825733,32.20767101,3.748651233,0.300422218
37,233.5785599,37.98284209,3.457307138,0.304591671
38,NaN,NaN,NaN,NaN
39,761.2614483,10.24249237,5.5920811,0.08390602
40,739.288624,15.44066628,5.671455285,0.11824877
41,125.136196,57.90478808,1.189843527,0.58386729
42,1360.794965,5.442915167,7.599021039,0.037102568
44,10943.96569,1.339109528,50.75229644,0.00974331
45,410.8558114,22.5118298,6.707564463,0.215492721
46,893.2158216,7.547336146,6.910829438,0.056006661
47,559.562466,15.83453155,4.717331282,0.177544438
48,359.6473488,21.87318034,3.526677688,0.200471401
49,2213.728012,2.124457055,15.24715906,0.020407718
50,1753.573394,3.334988422,11.48587813,0.028077831
51,262.9791392,24.03009278,1.262467195,0.223395756
52,378.388732,25.89289889,2.190598993,0.216265461
53,18736.8814,1.106126436,55.30108245,0.010907601
54,13174.62565,1.276093475,38.91709374,0.009381488
55,514.2480109,16.83575429,19.16779325,0.150463036
56,634.6513722,9.258267609,4.878988042,0.066472119
57,173.1141145,31.46005152,3.959562169,0.313219553
59,20584.2733,1.047953158,104.4663926,0.013657839
60,659.8543013,13.48078159,14.13455164,0.196279786
62,279.3055818,21.18931407,4.831935053,0.361276714
63,688.2565445,13.29844163,5.137162548,0.103503437
64,200.7794693,39.50952943,2.708905425,0.271928713
65,646.941264,15.15379507,3.648165417,0.119043978
66,37.44265671,2.43897077,4.717464906,0.349783876
67,1424.265794,3.024005104,10.26533441,0.03064648
68,348.7594937,22.30714988,2.937218738,0.238458079
69,217.8118754,27.16382217,3.142624546,0.397924774
70,119.4545236,48.42644854,1.112216212,0.642139601
71,470.7068622,17.70576428,3.462519704,0.278766062
72,588.4057971,17.33822118,7.527976117,0.370890397
73,153.7392229,49.33807047,0.79816765,0.714789164
74,157.8545241,45.00578596,0.899208541,0.748147253
75,NaN,NaN,NaN,NaN
76,9410.6125,1.856088494,63.49478275,0.018504058
77,190.2872937,24.20817558,8.207149368,0.334233888
78,8112.763539,1.907487663,54.09631375,0.023193957
79,236.0009534,20.92684601,8.110648234,0.186994222
80,207.2649638,24.93821831,1.564675542,0.319086051
81,2095.922889,2.402927322,14.46051152,0.029796122
82,333.8991442,15.17361808,3.0379829,0.194732517
83,221.860942,79.01740409,1.197732794,0.730915218
84,2427.07456,1.866328461,17.33955021,0.026819346
85,681.2531564,14.92280409,5.963324305,0.137200478
86,4471.105153,2.990849504,42.17687733,0.025413792
87,175.4305192,20.11202181,4.10139866,0.261199352
88,912.1858538,9.469704225,9.389259799,0.086401451
89,180.9157915,43.18451092,1.811555894,0.481741806
90,8615.383112,1.490327436,69.91915599,0.015199156
92,372.4500082,15.91872717,3.617901661,0.221119689
93,616.6545288,15.10999034,5.111441749,0.168183491
94,204.5786177,24.45626936,3.600279446,0.307255841
95,809.8052554,12.25349662,7.252246607,0.120309062
96,768.7896704,12.80097369,6.204767043,0.145379285
