Strain number,Yfinal,FCfinal,WeightF,WeightY
1,185.8154491,35.7236602,0.628320919,0.092121546
2,152.9082113,12.7248082,0.491941653,0.040740589
3,4112.272625,2.302072526,8.550673486,0.008319561
4,5341.97987,1.439688834,9.841185503,0.004242277
5,286.7582478,5.727420254,1.763940056,0.018836806
7,59.11896769,30.89733581,0.512920676,0.05509358
8,278.0613339,22.23972994,0.783007974,0.065880745
9,2217.979941,4.488655349,5.057079828,0.01076028
10,133.8687842,34.46586728,1.276066226,0.103465867
11,371.5061939,7.192367686,0.992749638,0.019483148
12,120.5544743,18.61066653,0.535721427,0.065699467
13,127.676006,73.88889738,0.48299298,0.23400238
14,296.0007396,7.518305468,28.12803075,0.025266641
15,4538.482887,2.259512639,9.853299387,0.007967963
16,194.4780231,39.40640224,2.13530715,0.103588698
17,272.8800784,46.71314346,0.952930005,0.138795933
18,437.247884,23.01931645,1.057801133,0.055374769
19,3660.003744,3.29472259,7.65453766,0.008085664
20,1052.499505,4.996348074,2.632756067,0.011816651
21,519.5406593,9.51798875,1.403368602,0.022817256
22,128.0378307,48.23595447,0.582416083,0.147573129
23,144.3084924,45.85814666,0.4131502,0.123686473
24,129.8771245,35.22201959,0.415935739,0.110159288
25,178.4980444,107.2432791,0.616760534,0.403968704
26,276.3966897,37.67104686,0.689879847,0.115680453
27,81.41840948,75.43660611,0.382889764,0.33988758
28,190.1078293,33.30642668,14.13645634,0.098973515
29,112.7941344,57.72207895,0.545208604,0.166014453
30,5823.656176,1.440071375,11.68604596,0.004079196
31,380.6250578,20.29548639,3.288193968,0.042909946
32,216.4810558,29.74067531,0.947756655,0.057444839
33,78.52162429,61.9554666,0.52849504,0.134307618
34,3899.042546,2.61419488,7.255402554,0.006552118
35,275.4636093,29.87450561,1.995429178,0.069661959
36,134.103575,56.34536178,0.772524468,0.158092152
37,93.13483985,121.9288553,0.471904119,0.375034979
38,195.5141903,69.88851298,17.26875232,0.220207421
39,331.1549809,24.41641716,0.877999927,0.080429824
40,291.9846705,36.01199411,0.721893519,0.096266203
41,60.35621775,120.531594,0.458549396,0.305153713
42,714.9691509,11.41768701,1.436957231,0.03075978
44,6272.185934,2.132872192,11.70397681,0.004343057
45,203.3469388,47.33299354,1.962196878,0.091548846
46,419.1297814,20.9762976,1.3426157,0.047442775
47,231.4318572,37.35509766,0.735717156,0.083711131
48,154.5892154,58.71770318,0.699839214,0.15124093
49,988.4249208,5.428361914,2.345103531,0.02079178
50,716.2399523,8.833482454,1.700763601,0.023622381
51,118.5799865,65.53462991,0.487310141,0.182839539
52,157.9498345,60.50741387,0.359884218,0.224926183
53,12608.57362,1.340331553,23.93192896,0.005298076
54,9029.533882,1.641460365,14.50828248,0.006536558
55,252.4702869,40.85754891,4.933334577,0.115775288
56,287.8006063,26.20800036,1.801922018,0.071973836
57,94.10142382,72.44115601,1.398984718,0.292436937
59,12581.25879,1.293102222,22.86515536,0.003735094
60,399.0941446,23.87098536,6.045607053,0.082846091
62,118.8314628,56.99726126,1.248739827,0.233175816
63,322.6922668,35.30237086,1.619013605,0.120249468
64,99.92667652,94.07385121,0.943338578,0.298766809
65,284.2456677,36.90387241,0.983902344,0.108796324
66,32.42544396,3.793415024,0.521869483,0.213816381
67,497.4720366,12.39971286,1.461336392,0.036083606
68,159.2849754,60.456416,0.769288761,0.125956447
69,128.4871723,56.02996429,0.997240353,0.17042436
70,54.70346356,124.930474,1.10625853,0.462823079
71,222.6742753,38.49911854,1.047178238,0.094372094
72,243.1259417,38.04293494,1.353707719,0.138095896
73,76.26413395,103.2016324,0.747218108,0.435745358
74,103.8950306,74.05115936,0.870421207,0.276631673
75,218.3375364,44.19735512,22.63153403,0.191105462
76,6762.714219,1.788936477,15.00390763,0.006710147
77,105.3260318,78.71785671,2.427802525,0.264645589
78,5629.113087,1.992600826,13.5287962,0.008887678
79,131.2387208,57.1881546,2.225498619,0.153004087
80,100.3927195,72.48868037,1.166251528,0.192532536
81,873.2125447,6.252427377,2.099888799,0.014624539
82,150.2734895,45.32655434,1.391414946,0.124021732
83,102.9804198,140.2949393,0.907275698,0.410597332
84,1073.514261,4.943202378,2.228343945,0.018389458
85,248.3922957,56.19963619,0.796650741,0.175273813
86,2303.611156,9.384023908,7.313421388,0.055014091
87,88.40300018,60.01909666,1.625727537,0.368589017
88,608.8883877,15.2026793,2.385204872,0.070599998
89,94.5978321,97.06426335,1.032648833,0.400399095
90,4594.461549,2.699459599,9.504072176,0.010335398
92,165.7287506,48.85606974,1.12132405,0.236699107
93,261.723876,37.67939988,1.198641529,0.209516409
94,81.09026392,91.6679671,0.7971355,0.288023243
95,302.1164388,40.16915393,1.446604666,0.115849068
96,343.2768365,29.11230147,1.046898953,0.078365698
