Strain number,Yfinal,FCfinal,WeightF,WeightY
1,303.3177244,15.38524974,0.757737306,0.09570226
2,363.7676715,6.701702385,1.061774012,0.029947388
3,7637.690236,0.942875897,34.00963574,0.00408795
4,8485.431164,0.821950315,30.2141102,0.002792284
5,535.0110565,5.741234616,2.316942284,0.018113121
7,72.11542134,32.54134308,0.514157922,0.087440098
8,525.7407458,5.111814298,2.089186283,0.023140628
9,4946.466158,1.265493887,24.87421528,0.006230801
10,219.8125804,19.79483454,2.055657335,0.085065796
11,802.7308694,5.795077999,3.928742941,0.026063905
12,253.19672,22.04298847,1.301124793,0.135082126
13,187.4066035,17.76832063,0.36995405,0.066561488
14,213.9432836,15.54008055,13.70293753,0.070283681
15,6927.479324,1.251937233,20.39656114,0.006100431
16,237.655104,14.84784701,2.019382856,0.082800974
17,421.9954705,26.4655819,1.04639676,0.136470971
18,602.0483154,11.0634261,1.34500082,0.049168419
19,5090.044345,1.630852702,14.83600135,0.009655335
20,1833.912697,1.502989081,11.39561982,0.008401941
21,1119.290835,2.438860017,7.326984879,0.016525633
22,236.0226702,8.868812723,2.292887061,0.044921201
23,254.2048127,8.843400596,1.372716874,0.048696913
24,274.6126072,20.26600362,1.835496252,0.127618405
25,286.7627716,42.49334561,0.982081228,0.25119407
26,383.2513733,17.69569458,0.938066788,0.097036476
27,128.7397906,27.1537777,0.93959777,0.275408022
28,139.1060259,28.39625682,10.67311274,0.129896931
29,136.7755135,31.6053634,0.313514772,0.214131057
30,7013.694039,1.025775081,24.54355193,0.009396161
31,444.164723,9.538293428,2.009600735,0.046406546
32,359.3224479,9.595962591,1.705740444,0.059479608
33,124.2876475,21.22286878,1.953785426,0.16323351
34,5425.682571,1.490309791,22.98405015,0.011502799
35,404.0932463,10.73945041,3.483957172,0.104816568
36,248.6912031,24.78087018,1.883610725,0.227304731
37,131.1819773,29.64654142,0.325355377,0.166386772
38,239.4714286,37.88717572,85.26859275,0.306811913
39,498.9774587,9.415693539,1.544536666,0.044716638
40,475.3728781,14.31897629,1.778722558,0.089058763
41,65.94389032,73.51457896,0.30431832,0.442783988
42,1049.330065,4.661795993,4.14703056,0.039717512
44,7857.280368,1.564074007,24.78871477,0.018573113
45,313.7302432,25.53862849,3.310079487,0.318465899
46,644.4717187,8.905172779,3.691349841,0.103136648
47,365.8805212,18.8978192,1.25922457,0.258536628
48,240.5575104,25.74730487,1.227262945,0.295416297
49,1661.993684,2.045224936,6.715101052,0.026631431
50,992.9068674,3.951983293,3.28812964,0.039920379
51,171.5397564,25.32009748,0.827223148,0.21298294
52,221.1619134,28.88548346,0.425997818,0.308123554
53,15253.65806,1.277318411,59.21166108,0.017307163
54,9466.779926,1.502732025,15.81702562,0.01494092
55,399.141857,14.85869334,7.871838036,0.092382154
56,406.9128602,10.84326869,2.465641662,0.069229162
57,139.373544,25.70312704,1.801660665,0.22741344
59,16421.40312,1.075424246,32.89131457,0.014004886
60,663.2401809,10.09886623,11.63554343,0.125053289
62,180.4475839,18.61443704,3.18495652,0.328511488
63,553.9409505,11.23469376,2.251215042,0.083777142
64,127.1823108,37.04702955,0.384614688,0.21032398
65,419.8280623,15.46048163,1.250638677,0.096520692
66,32.14781964,1.790668851,1.174754427,0.229279111
67,759.990355,3.169117383,2.186773192,0.03242414
68,243.6060926,16.91130546,1.289127576,0.101803919
69,209.8304231,15.38384897,4.169564984,0.105877506
70,61.65655486,56.43150434,0.527428895,0.473545101
71,316.1459306,16.13258671,0.814052164,0.186425172
72,361.3620987,18.65549636,1.183514518,0.220045277
73,92.95257879,38.15187256,0.312641828,0.394454993
74,89.76070291,43.15549494,0.534778761,0.468364246
75,170.1407223,49.22553933,40.37781513,0.665076345
76,8036.754819,1.250761436,48.61981828,0.013670404
77,101.1249335,29.65350819,2.316949278,0.456365298
78,7073.043408,1.431006548,42.81404457,0.024752624
79,177.5795053,20.74366226,4.545633229,0.23512935
80,141.8980051,21.26857971,1.164867131,0.231110493
81,1597.048893,2.222636554,8.441886768,0.030318625
82,289.1583429,14.3795507,3.783762156,0.182880892
83,168.4495441,79.0981202,1.07273616,1.324930196
84,1561.510515,2.487369159,5.978322966,0.046489991
85,409.1713886,20.7686545,1.268729004,0.195840735
86,2617.205955,3.887879918,9.560993011,0.040667781
87,130.9502531,22.48997125,2.064060625,0.284980667
88,873.2368059,6.17278728,5.27657974,0.053927144
89,160.6230432,30.27870343,1.62105592,0.367455991
90,6988.089329,1.342849771,41.42281867,0.017021799
92,306.3388379,16.46998276,3.265712662,0.302738846
93,530.5986968,13.62725832,3.388943739,0.185800059
94,144.1529916,30.78176902,1.967362313,0.446482791
95,615.6046088,12.31711804,2.670324918,0.164846645
96,700.4676304,12.02759216,2.821259054,0.164862176
