Strain #,Yfinal,FCfinal,WeightF,WeightY
1,30.94852088,1.234572627,0.087034896,0.006948787
2,28.75599754,0.939952057,0.154238361,0.003715678
3,31.01303121,NaN,0.115665921,NaN
4,31.2211037,NaN,0.131580691,NaN
5,33.95554615,0.786112473,0.113618598,0.003984629
6,29.34809362,0.902295454,0.119779952,0.003590834
7,84.08308605,0.328962971,0.381880767,0.002695421
8,31.44479903,0.870528659,0.10903537,0.004674823
9,36.98182981,NaN,0.206085249,NaN
10,35.60877715,0.906912488,0.15659468,0.012094917
11,41.42683243,NaN,0.280844087,NaN
12,32.99816418,0.80089964,0.150711224,0.004781614
13,33.6093126,0.82350217,0.12509893,0.004203684
14,51.8746443,0.520196752,0.219681739,0.002087069
16,35.4743882,0.760000973,0.181805789,0.00336905
17,33.00185228,0.834052336,0.148679819,0.00316218
18,30.97584746,0.887592951,0.142405978,0.003796248
19,1223.78096,0.024210049,8.696840344,0.00020286
20,30.92265579,0.886136831,0.508128911,0.003869579
21,29.66572862,0.902029654,0.124101956,0.003345255
22,28.57465382,0.915176377,0.142444933,0.002954815
23,225.1772645,0.116333377,1.623437753,0.000572974
24,69.64027904,0.374068979,0.573299679,0.001747312
25,29.5020907,0.912482835,0.146041396,0.004475577
26,33.63787491,0.808668888,0.151987329,0.003384939
27,31.83980044,0.8474375,0.149859939,0.003790022
28,44.35769922,0.614101459,0.223114749,0.00272613
29,30.90947517,0.882202411,0.118473806,0.003563415
30,31.49158674,0.8848165,0.112358589,0.004036965
31,29.87045597,0.926233313,0.128588358,0.003500521
32,63.69420175,0.436653168,0.292238458,0.003236351
33,38.25536372,0.712050683,0.129453761,0.002987172
34,29.66815281,0.890986463,0.107593412,0.002764014
35,30.09626604,0.85942198,0.196913901,0.003128755
36,29.83574007,0.88622317,0.144736267,0.003454574
37,34.96210065,0.784525272,0.14536169,0.004566758
38,88.73252859,0.3188271,0.557158696,0.001783369
39,50.46862275,0.554372548,0.273334374,0.004312284
40,32.10281394,0.997887296,0.123495978,0.006918548
41,31.78713169,0.893255173,0.130237402,0.004360468
42,26.03720301,1.035043268,0.083641427,0.005026701
43,34.05538462,0.79559564,0.155903463,0.00416842
44,45.61110275,0.594958526,0.234647286,0.003550902
45,26.11374604,0.994559136,0.108295974,0.004894677
46,98.32257155,0.27861565,0.536937653,0.001913508
47,30.76630964,0.859441202,0.192290984,0.003562457
48,29.02164502,0.916666992,0.140560886,0.003859125
49,33.91074177,0.827094353,0.135586361,0.004997231
50,26.4339585,0.993265644,0.129866302,0.004604452
51,30.08435154,0.949900639,0.138640063,0.004325855
52,30.0410544,0.957310315,0.120800445,0.005695324
53,69.61221814,0.397756067,0.399347013,0.002550248
54,33.85090473,0.837077262,0.129970383,0.004774823
55,31.16999873,0.905870052,0.133611036,0.004594986
56,31.082881,0.876452818,0.173038485,0.004484727
57,32.94830989,1.467099434,0.140175713,0.017281645
58,28.7944118,0.940485484,0.113399168,0.004971345
59,58.19529609,2.20084263,0.350358903,0.033195635
60,28.12612683,1.053657132,0.089927985,0.039916903
61,31.68290143,0.89178761,0.078892299,0.003783217
62,36.05926305,0.778997686,0.158724082,0.004106844
63,46.72649432,0.613919815,0.271444989,0.003851615
64,32.4399287,0.882412511,0.178600304,0.00372713
65,34.74483344,0.816723202,0.133806523,0.00338864
66,32.37488182,0.869160857,0.153163461,0.005606644
67,30.58002663,0.961186038,0.1319072,0.005605119
68,36.40815524,0.776328409,0.164741334,0.004319501
69,26.02090939,1.017370217,0.116029805,0.005875202
70,30.1416628,0.934746491,0.172999974,0.003003493
71,30.99664879,0.999472037,0.214776939,0.005901239
72,31.82558372,0.85032083,0.120189802,0.003158272
73,54.24611894,0.865604653,0.188888724,0.005416538
74,36.61696443,0.917349007,0.194414672,0.005834872
75,33.20665195,0.850485645,0.161322526,0.003995755
76,252.4614741,1.670122365,1.642380894,0.009659979
77,44.92292635,0.633683011,0.372483701,0.006765149
78,34.05848394,0.815372207,0.212326103,0.004528596
79,51.57204301,0.53943927,0.311218741,0.002503663
80,34.05552604,0.811894986,0.218666895,0.004419602
81,33.18917431,1.061852826,0.180661173,0.009436042
82,29.98477424,0.911101346,0.149930531,0.004869078
83,30.35687264,0.894171439,0.22968963,0.005112506
84,30.74270281,0.998633089,0.11207964,0.034709255
85,42.31938665,0.655323639,0.132859548,0.002590965
86,37.90873101,0.984397601,0.172853443,0.011879622
87,30.18432632,0.915849046,0.1256183,0.005264144
88,32.97551679,0.829127862,0.152309464,0.003627793
89,34.8669605,0.791626147,0.175226235,0.004391796
90,29.29151108,1.124093062,0.177768743,0.010667935
91,30.51547005,0.899208098,0.165712503,0.004569851
92,36.54173376,0.738854394,0.166749691,0.003392303
93,210.6360488,NaN,0.994286009,NaN
94,30.01154419,1.000741148,0.157663587,0.008495842
95,264.9222656,NaN,1.579471672,NaN
96,30.03418344,0.88755313,0.112570821,0.003228362
