Strain number,Yfinal,FCfinal,WeightF,WeightY
1,44.15792829,0.493267931,0.32433527,0.001227066
2,21.11544511,1.027911564,0.166308634,0.003461206
3,344.9351405,0.066087351,3.324835986,0.000156242
4,1336.608471,0.029551223,13.2242241,9.67E-05
5,76.7631798,0.305294024,0.151883759,0.000671472
6,10682.96506,0.051224274,104.8627555,0.000203675
7,107.0455388,0.249984683,4.29759295,0.002944196
8,3976.724627,0.011819543,42.00816022,8.49E-05
9,248.7639919,0.087451906,2.171505937,0.000327988
11,5107.646886,0.00688004,34.28810984,6.01E-05
12,4212.485779,0.008588467,43.66650024,8.39E-05
13,93.45993968,0.246038143,2.729684788,0.000685538
14,89.87029748,0.242602062,0.574182215,0.000842013
15,124.9468341,0.179131785,1.81665519,0.000490132
16,21.53432494,0.998842557,0.140063466,0.003156997
17,22.61186207,0.957808756,0.784284392,0.003354221
19,44.05313674,0.499816882,0.467424403,0.002107517
20,52.49305949,0.417366724,1.721178011,0.002217745
22,173.6797019,0.132745368,2.988007885,0.003692372
23,21.57742378,0.973243403,0.218206897,0.003936071
24,167.2112726,0.128114327,1.016648366,0.00053065
25,5005.687997,0.007954271,51.49701634,4.39E-05
26,151.9196429,0.141256446,4.012903084,0.000475027
28,158.8859477,0.156169198,2.026036471,0.00027568
29,60.99177416,0.361926497,0.54666508,0.002743543
30,283.4447258,0.102632456,1.896883394,0.00021604
31,88.57385508,0.259330391,0.741249003,0.001020363
32,8062.830112,0.016162479,92.47581845,0.000276419
33,107.56941,0.199444565,7.335317341,0.000782462
34,1542.188675,0.020129706,19.17279379,0.000221241
35,101.7957635,0.207673523,1.865397802,0.00107908
36,265.9920208,0.084191514,2.715362306,0.000343399
37,71.23765229,0.317813064,0.237870154,0.001772678
38,23.7421915,0.934114248,0.21686191,0.027330391
39,9681.435615,0.008931438,89.54727478,6.27E-05
40,5573.619516,0.019763757,10.07052591,0.000113203
41,NaN,NaN,NaN,NaN
42,1336.804657,0.01879413,14.1552176,5.46E-05
43,512.4778045,0.061018606,7.126669113,0.00014066
44,160.3273279,0.137406448,3.806606243,0.000527959
45,102.1084681,0.210080489,3.703799291,0.000798489
46,44.05501663,0.481494446,1.659363675,0.001801062
47,132.0311396,0.168461542,1.963297525,0.001005768
48,73.36101536,0.300424359,1.516736589,0.00201919
49,52.58926092,0.411654815,1.530907239,0.001427877
50,66.82937365,0.370463973,1.857169884,0.000652478
51,58.91486531,0.416036182,2.575957058,0.00071748
53,72.61362315,0.329627346,0.328342481,0.00180743
54,25.8480534,0.853469933,0.176634225,0.003024874
55,86.93508315,0.252524437,0.245116828,0.001279632
56,126.179483,0.171794487,1.336612076,0.000700258
57,83.1823573,0.256486104,1.842386569,0.001206731
58,1378.886463,0.020830329,25.21260355,0.0001913
59,64.45323152,0.344218759,2.380113172,0.002041479
60,126.260366,0.178150146,2.384195624,0.000826495
61,1005.285683,0.031045705,2.965462363,9.63E-05
62,NaN,NaN,NaN,NaN
63,33.21222411,0.952559429,1.441560987,0.002505066
64,43.490516,0.512798456,0.099927119,0.001153446
65,99.13318692,0.219828966,0.277209314,0.00092391
67,40.03221934,0.552313711,0.345821611,0.002302761
68,586.2451014,0.038180981,9.272471196,0.000190376
69,4051.896083,0.008985146,56.2871661,7.66E-05
70,93.69276394,0.224336461,8.241795517,0.001181322
71,265.4083948,0.079413638,8.352559271,0.000436343
72,26.47664671,0.803879405,1.756019078,0.006418989
73,350.8338738,0.070371753,4.383080021,0.000219191
74,137.5225019,0.157798195,1.552750816,0.000448294
75,57.13080656,0.374578701,0.184939552,0.001490806
76,27.22182921,0.798492058,0.296010186,0.002961231
78,72.98269422,0.299650164,0.155101801,0.00110216
79,NaN,NaN,NaN,NaN
80,274.3802228,0.080339349,5.246488915,0.000428477
81,91.54885057,0.232303469,4.844707457,0.001223406
82,147.9832079,0.148452318,3.188000862,0.000546351
83,221.5731798,0.09712382,3.230693267,0.000431256
84,94.5932914,0.229159633,3.051703379,0.001153165
85,1006.531762,0.031636695,13.40945598,0.000133522
86,141.408,0.157306478,3.767507061,0.000527761
87,539.8308129,0.042601357,4.961177648,0.000155331
88,85.43993135,0.259502715,1.552010803,0.001188121
89,241.9716703,0.227845002,2.551363214,0.000574678
90,32.06825846,0.732923258,0.198141944,0.001307189
91,105.3618975,0.205441201,2.196503806,0.00143743
92,98.16604378,0.225706534,2.266818483,0.001143238
94,125.6796778,0.176753656,2.306416522,0.000965347
96,251.0275229,0.086480959,10.7110277,0.000379694
