Strain number,Yfinal,FCfinal,WeightF,WeightY
1,27.7228295,0.847309641,0.097092134,0.001574178
2,21.73356345,1.059069178,0.072407186,0.001868884
3,139.2087287,0.170257108,0.46993463,0.001337416
4,594.0547237,0.042024279,3.347478854,8.08E-05
5,43.70008144,0.556930905,0.118665599,0.001894893
6,6092.44655,0.00668366,25.8803046,1.64E-05
7,58.26443203,0.410482458,1.892871648,0.000949301
8,1983.520125,0.013201052,8.826707567,3.74E-05
9,116.1242452,NaN,0.792483105,NaN
11,2901.031403,0.009143482,14.75872121,2.94E-05
12,1857.305752,0.012977195,10.89914817,3.77E-05
13,73.41495993,0.30728171,2.763995599,0.000835763
14,52.88312761,0.422922603,0.499111561,0.001098993
15,58.52774035,0.400302998,0.23439555,0.000854427
16,22.37091239,1.030372046,0.159911096,0.002120285
17,22.58908469,0.992556317,0.064895562,0.002447153
19,30.43539958,0.754851234,0.158837423,0.001545009
20,33.78368075,0.679208285,0.130026564,0.001504616
22,142.6419351,0.160504975,4.176840279,0.000626918
23,27.62418813,0.81227568,2.524222405,0.003260814
24,140.0306162,0.163290089,0.469713998,0.00039782
25,2871.570272,0.009746275,26.82467502,2.31E-05
26,77.49718785,0.299304656,1.688116392,0.002753378
28,62.43529686,NaN,0.265699873,NaN
29,35.56861711,0.636547659,0.132601039,0.001508193
30,144.8512109,0.177355139,0.591808899,0.000342758
31,55.17349834,0.444287564,0.174030816,0.00088187
32,4457.478553,0.007150964,20.44688966,2.89E-05
33,57.42378116,0.407034241,2.095654713,0.000831012
34,974.0494358,0.024915611,6.675171862,6.72E-05
35,54.31126554,0.425600462,1.169489992,0.001097862
36,141.7494748,0.163266379,1.035546541,0.00035908
37,51.32009627,0.460370867,0.20873088,0.001777981
38,22.77510847,1.046043945,0.092653493,0.002453038
39,4528.94347,0.007978042,18.62699514,3.14E-05
40,3889.325855,0.010590753,10.65655552,2.95E-05
41,51.28911543,0.466443053,2.770665128,0.001004086
42,713.7628937,0.034654003,2.809284418,7.68E-05
43,197.79114,0.116033484,1.039992073,0.00024675
44,80.67243617,0.283660642,0.517819299,0.000612793
45,47.20528885,0.484339556,0.739702195,0.001324642
46,30.31679216,0.75198062,0.134110408,0.00182691
47,79.4400879,0.297638226,0.722687794,0.001135054
48,45.45474675,0.519477864,0.571559527,0.002129201
49,37.02939719,0.626187108,0.856307692,0.002533253
50,39.6954949,0.630047161,0.924148139,0.001235836
51,32.93622565,0.726563391,0.169706388,0.001450412
53,76.37106516,0.304532984,1.348456019,0.000977304
54,24.37593006,0.944589528,0.068373858,0.001996051
55,74.90988893,0.306467391,0.162567855,0.00067107
56,75.83408017,0.300098268,0.204512367,0.000676218
57,47.41511087,0.477646363,0.227386677,0.001173137
58,500.9496778,0.047935792,5.862230253,0.000161648
59,43.95936842,0.526976977,1.374511326,0.002382463
60,74.19412277,0.325798265,0.393445523,0.003204359
61,499.2403977,0.050088487,4.420402164,0.000183691
62,24.47710363,0.959386236,0.196372032,0.002241698
63,23.51645838,1.006759962,0.354054167,0.003054363
64,29.6022233,0.802103142,0.124660561,0.003645391
65,70.46267799,0.356384254,0.241127542,0.000717103
67,34.7248011,0.679221586,0.331201964,0.001878636
68,244.5988123,0.09346293,1.767799651,0.000303335
69,1657.778117,0.015366289,7.777084148,6.73E-05
70,46.98257935,0.493269791,1.296386713,0.002086875
71,143.3231761,0.159950976,1.881727967,0.001332436
72,24.04979812,0.950467787,0.457057694,0.003892056
73,192.1102435,0.121741369,1.459051934,0.000374562
74,81.03402612,0.288989189,0.932908776,0.000808236
75,43.53578828,0.534193645,0.320394894,0.001339138
76,23.85294464,0.986609229,0.122395567,0.002744008
78,55.87360143,0.414898117,0.154470963,0.001089952
79,110.8010942,0.211581142,0.419891525,0.000570743
80,142.9783837,0.164543006,1.450963565,0.000625784
81,50.98685364,0.460886803,0.480230503,0.001183975
82,74.84883328,0.308884,1.078527358,0.000886528
83,131.7285679,0.178233635,1.197862151,0.000649346
84,53.13807245,0.438121849,0.51441532,0.001244146
85,540.2477588,0.044417628,4.045174848,0.000150997
86,75.90385712,0.309950954,0.397373935,0.000818384
87,302.6152044,0.07709129,1.001985654,0.000287636
88,44.2884374,0.528582451,0.28918911,0.001746563
89,107.6080806,0.265535439,0.655435618,0.000778786
90,29.5930766,0.786286551,0.176911536,0.002496008
91,63.10568485,0.365550554,0.555203385,0.00189564
92,51.73839845,0.451205156,2.42157442,0.001937836
94,66.90425221,0.363061613,0.315832777,0.009837217
96,155.4812654,0.150831851,5.945654379,0.000367283
