Strain number,Yfinal,FCfinal,WeightF,WeightY
1,27.42648777,0.770320936,0.059919232,0.002543381
2,21.87999796,0.99625367,0.04704407,0.044203342
3,125.2533389,0.17518473,0.371031955,0.003749727
4,684.6263298,0.033471103,2.497927143,0.000165515
5,52.73231885,0.425602396,0.16975808,0.007364929
6,6095.352561,0.009897381,23.19026883,0.000305917
7,54.20682151,0.41723381,0.9938168,0.004421612
8,2081.378282,0.013682645,10.34066812,0.000313707
9,96.2011316,0.231129262,0.544372183,0.007343331
11,1882.958465,0.014925333,6.045372582,0.000136317
12,1533.589635,0.016349136,5.768603215,0.000113092
13,53.69117179,0.411386976,0.435467488,0.001304076
14,46.41862562,0.453897942,0.184574166,0.00137837
15,57.5862332,0.376088926,0.155809121,0.001219736
16,22.03864496,0.946513231,0.215867529,0.003159614
17,23.03589827,0.892165065,0.065723855,0.003073758
19,29.2742767,0.712438409,0.071229586,0.002072821
20,30.76762082,0.672956789,0.06288193,0.0025851
22,88.00992724,0.241199951,1.802236473,0.001142003
23,24.09084224,0.841580376,0.248182481,0.003164973
24,104.1796586,0.199411682,0.261654424,0.000840584
25,3129.601188,0.00922009,14.61117025,4.03E-05
26,71.2523248,0.296279671,0.760436648,0.004984444
28,70.63833095,0.314833994,0.219898789,0.000702359
29,37.58543942,0.55530222,0.098150203,0.002241511
30,126.5251943,0.196421871,0.381552108,0.000415237
31,52.40276072,0.433792308,0.131324268,0.001708049
32,4729.405402,0.008012922,22.26443083,0.000164896
33,50.14066496,0.423310086,1.098270621,0.001675793
34,860.0118761,0.027080336,3.685476817,0.000105767
35,58.29599277,0.357992313,0.812164999,0.005453999
36,147.6788296,0.142671281,0.526379097,0.000626029
37,50.27204701,0.413087846,0.318592728,0.001555622
38,22.54414401,0.92263181,0.266724411,0.003125637
39,4728.964295,0.010046141,15.55623886,7.05E-05
40,4092.539278,0.012755903,12.53268912,6.89E-05
41,72.42207535,0.305839075,3.071366603,0.001256182
42,838.9161965,0.027582155,3.365891416,0.000115259
43,186.5485207,0.11682643,0.64554304,0.00060378
44,79.71537498,0.261557421,0.237005156,0.001068861
45,43.25269182,0.482707943,0.190152179,0.002069898
46,29.19489642,0.705669191,0.227402617,0.00323137
47,70.55056286,0.300181437,0.196360248,0.001542754
48,39.95432756,0.537452667,0.223188148,0.002453627
49,32.02358602,0.672017436,0.075686941,0.008369059
50,33.47089667,0.709942799,0.119406936,0.001379039
51,30.67197012,0.771719442,0.19603258,0.00172335
53,59.47247009,0.38261786,0.504953283,0.001064599
54,24.7881209,0.931040828,0.139097305,0.001994108
55,71.67471354,0.303927602,0.202875039,0.001073035
56,68.61068056,0.306197229,0.204008683,0.001660239
57,41.49305243,0.515825006,0.167815675,0.002234335
58,507.2200342,0.045735666,2.024915543,0.00023495
59,35.37170381,0.613301516,0.257015699,0.003457225
60,64.3112977,0.352032287,0.217414277,0.001736296
61,300.3645264,0.07879532,0.869352215,0.000271882
62,26.74933773,0.816994986,0.396131046,0.00202028
63,22.63365378,0.998178953,0.088879196,0.00240493
64,27.15219284,0.868482387,0.069368219,0.001692445
65,59.40953964,0.422461137,0.125246658,0.000856812
67,30.61740081,0.71488383,0.082720256,0.003012357
68,231.7437638,0.091484474,0.714074012,0.000433921
69,1768.973148,0.014086374,7.683232064,0.000106796
70,37.23000365,0.560803861,0.474437161,0.002951282
71,135.1270472,0.154685419,0.552801531,0.000790669
72,23.18780838,0.911350815,0.229823517,0.0080335
73,184.5349081,0.121935346,0.637071822,0.000354207
74,71.8435014,0.300906233,0.289037034,0.001561444
75,38.52209796,0.55593257,0.141644657,0.002544294
76,22.19296254,1.017185335,0.087161284,0.005353506
78,44.35460359,0.485297381,0.137302259,0.001787365
79,90.02477788,0.235517444,0.262339663,0.001187698
80,135.4868443,0.157974271,0.501148517,0.001482565
81,62.30196749,0.347392116,1.087044619,0.006877054
82,65.87991718,0.323468028,0.371901754,0.001804665
83,112.7552722,0.187332677,0.380740949,0.001266177
84,56.54887432,0.374892036,0.394003342,0.00196047
85,511.5360396,0.044118523,1.765282294,0.000185339
86,71.04325496,0.302530711,0.280970253,0.00112122
87,273.7064691,0.079803976,0.940700153,0.000569815
88,43.26626102,0.506179078,0.192947337,0.002682899
89,91.9688246,0.266977824,0.26602469,0.001356277
90,31.76470588,0.662162338,0.166875927,0.003396161
91,69.89099653,0.303747097,1.119869581,0.002057469
92,46.97857624,0.459982957,0.163830103,0.003354383
94,61.87644046,0.351932073,0.201269063,0.00240356
96,119.8567466,0.182556339,1.4390229,0.001000837
