Strain number,Yfinal,FCfinal,WeightF,WeightY
1,29.57866682,0.77188096,0.99548603,0.001523592
2,22.01959157,0.982853046,0.051707187,0.006067231
3,67.54062769,0.322940615,0.159026616,0.001463255
4,415.367447,0.05474222,0.68893752,0.000217982
5,42.19574311,0.53324898,0.119446471,0.001094235
6,3312.275758,0.010024848,10.51284194,2.78E-05
7,50.28998148,0.450676359,1.373048523,0.001056406
8,977.806391,0.024167689,3.38761164,7.81E-05
9,86.05310954,0.251595989,0.468958854,0.000605599
11,1070.338119,0.022295267,2.885655728,7.21E-05
12,584.0681781,0.038046202,2.148119318,9.00E-05
13,36.88547735,0.590222888,0.409019783,0.001723473
14,34.77236399,0.629629226,0.175283227,0.0032367
15,33.21153645,0.674171898,0.123436674,0.001484802
16,21.83438433,1.00110787,0.17953878,0.002085035
17,22.06267966,0.975830792,0.126165685,0.002347786
19,26.05552592,0.853304126,0.10742007,0.002138661
20,26.94919975,0.815843187,0.113016606,0.001782285
22,72.55644172,0.303125501,0.948207557,0.001577421
23,23.0876039,0.928154479,0.232224359,0.002480366
24,58.89383233,0.370905397,0.423352975,0.000969471
25,1238.35715,0.019993342,3.72060925,6.69E-05
26,46.43323973,0.481050346,0.428272934,0.001292702
28,38.66685451,0.602651429,0.161198381,0.001187471
29,30.09398428,0.716891387,0.124344249,0.001778125
30,91.45521085,0.254426624,0.162567695,0.000520473
31,42.55917248,0.543609293,0.093627692,0.001375282
32,2359.865151,0.011356768,5.502848716,4.76E-05
33,36.44488521,0.605130213,0.65191927,0.001700538
34,346.7681452,0.064943861,0.764470591,0.000152828
35,31.47475144,0.694526603,0.267077164,0.001798053
36,65.63469096,0.347969629,0.197786649,0.000785672
37,35.38903053,0.60893857,0.135727927,0.002216575
38,22.17900865,0.99712231,0.066364523,0.002896223
39,2530.014425,0.012883969,6.895265,4.69E-05
40,2527.440933,0.014779098,4.368102005,4.36E-05
41,32.82268258,0.682995234,0.849965577,0.001654987
42,358.1329763,0.066585738,0.789647099,0.00017249
43,121.2981058,0.180665735,0.291612433,0.000520327
44,47.27964191,0.466008324,0.181181598,0.001043816
45,31.90741097,0.677444021,0.104951431,0.001743732
46,25.94019887,0.836263818,0.086444155,0.001824726
47,34.62844826,0.631690692,0.074217424,0.002090435
48,30.42966978,0.742427266,0.100807441,0.00167986
49,26.5171998,0.819516002,0.068665932,0.002976697
50,27.42953652,0.859452274,0.127250581,0.001877874
51,25.33888509,0.93553347,0.060085567,0.001896135
53,37.92014193,0.588828639,0.312677744,0.001593979
54,22.3673379,1.054007767,0.067447016,0.002617958
55,37.78191735,0.602246844,0.09529162,0.001459566
56,38.54784364,0.575266118,0.084960347,0.001283164
57,30.3386005,0.736900745,0.093842991,0.002204228
58,211.5304247,0.106442588,0.550683478,0.000274999
59,28.56311798,0.766461446,0.093107662,0.002620896
60,37.919459,0.599087813,0.132079963,0.001494011
61,237.3234908,0.09827573,0.781888924,0.000319967
62,21.94483364,1.044295092,0.058124043,0.002533242
63,22.0247427,1.040405667,0.062571052,0.002338099
64,NaN,NaN,NaN,NaN
65,41.10938744,0.569712612,0.102913435,0.001218751
67,27.5448098,0.824791047,0.05888216,0.002306602
68,105.461096,0.215334854,0.245402508,0.000662598
69,587.8428728,0.041852483,1.319291489,0.000198683
70,30.82254626,0.69565353,0.195614639,0.002079147
71,57.03580195,0.38689274,0.122970846,0.001284855
72,21.65315752,1.003024298,0.102756456,0.002781058
73,87.78847769,0.256344143,0.339964856,0.000823801
74,40.91202419,0.550664611,0.445575574,0.001491431
75,28.70503417,0.76791631,0.081153439,0.002106008
76,22.24268545,1.021448421,0.055059381,0.002313648
78,36.5268692,0.627375207,0.072662147,0.001548142
79,63.02755364,0.359760039,0.151688208,0.000911851
80,63.18494263,0.353165696,0.154174623,0.001001987
81,29.96241234,0.747023135,0.073386582,0.002382771
82,43.56897469,0.512695371,0.096187782,0.001583174
83,57.93901734,0.387381078,0.196909595,0.001060519
84,27.77507916,0.822080989,0.089894949,0.001961008
85,225.8130237,0.099259747,0.640883193,0.000245861
86,38.78220148,0.580939724,0.119215795,0.001281961
87,119.9579119,0.193154997,0.326371356,0.000454217
88,28.997812,0.796999365,0.132039869,0.001895872
89,68.01616628,0.378665298,0.170296425,0.000839858
90,24.57949286,0.906920571,0.072334346,0.00242015
91,34.3263029,0.638046575,0.10596755,0.001824404
92,30.92679563,0.72008185,0.088760893,0.001949244
94,35.06798649,0.640372078,0.087708955,0.002073809
96,53.4041672,0.426335125,0.593159936,0.000883549
