Strain number,Yfinal,FCfinal,WeightF,WeightY
1,23.98973052,0.94230306,0.053260535,0.002586623
2,20.1170899,1.109736899,0.09995359,0.002498122
3,107.7714514,0.213397804,0.276007768,0.000439666
4,424.3274157,0.05635907,1.823072962,0.000365127
5,44.18099745,0.53432106,0.117074216,0.001130908
6,4368.527464,0.007233546,21.37242679,4.48E-05
7,44.20749263,0.50950188,1.129518458,0.00114832
8,1886.493415,0.012202433,13.46162899,2.69E-05
9,83.83088718,0.256243869,0.430448129,0.000809108
11,1678.735625,0.013496017,7.679147984,3.97E-05
12,1223.2776,0.018358958,5.880723883,5.32E-05
13,43.45171969,0.522347987,0.254685559,0.001109771
14,36.48518698,0.608515207,0.126499018,0.001401811
15,43.32904765,0.514117041,0.232315001,0.001179027
16,20.56518877,1.075060776,0.058159676,0.002336216
17,21.01281659,1.036180007,0.059837739,0.003473819
19,25.65752117,0.884580678,0.066812024,0.001985837
20,27.00401648,0.814346327,0.063901792,0.002104976
22,75.15366143,0.29250726,1.076884943,0.001514588
23,23.01243772,0.932123994,0.633774893,0.002721784
24,80.67581255,0.275079266,0.240861095,0.001815976
25,2097.721566,0.011986237,11.38925965,2.63E-05
26,60.45028527,0.38015829,0.923570206,0.000797721
28,64.33147574,0.396130902,0.282308184,0.000767149
29,33.04876179,0.700561733,0.086018005,0.001426484
30,102.7703022,0.281097112,0.295834764,0.000669476
31,41.66508777,0.558473183,0.118831344,0.001162205
32,3581.674944,0.007226395,17.56847054,4.59E-05
33,57.67708138,0.392039669,2.25368421,0.000865289
34,661.9970941,0.035221683,3.114956767,8.17E-05
35,57.24008151,0.384514238,1.109264247,0.000957744
36,108.7571923,0.207450807,0.466745088,0.000488885
37,37.13338235,0.575087827,0.085752245,0.00218881
38,21.52011803,1.023350278,0.109035737,0.002404605
39,3521.246364,0.007784737,14.63990221,2.28E-05
40,2779.574921,NaN,6.88312751,NaN
41,36.86547421,0.595221166,1.213884022,0.001368593
42,525.0127295,0.043588751,2.357513882,0.000102161
43,149.6347883,0.147140165,0.633915523,0.000350918
44,58.59443403,0.376682452,0.255031028,0.000959731
45,39.81254462,0.554044458,0.263932803,0.001468615
46,25.84720049,0.837537265,0.115775033,0.002273346
47,59.77156834,0.357818232,0.41831754,0.001220492
48,33.74121062,0.661140932,0.197347435,0.001767746
49,29.40315956,0.763297279,0.180541611,0.00210075
50,30.54577715,0.809973469,0.136201739,0.002150245
51,27.17071389,0.916153168,0.157611494,0.001746419
53,50.92670477,0.449092228,0.2618877,0.0010072
54,24.61211806,0.937152429,0.092030813,0.001995586
55,54.04389361,0.423947074,0.163091248,0.001198662
56,53.7420849,0.420061222,0.165049858,0.000947829
57,35.30858177,0.642015255,0.122065849,0.001547936
58,384.5412251,0.056996,1.64813573,0.000156366
59,34.44971954,0.623873355,0.441942071,0.002106537
60,52.01051515,0.430863114,0.222804418,0.001170155
61,248.3872959,0.104383215,0.612438622,0.000230023
62,22.39144948,1.153834484,0.113764257,0.002213515
63,21.36810746,1.164199086,0.065134158,0.002182107
64,26.65042315,0.901110681,0.054765775,0.001752438
65,45.94795868,0.549581854,0.103402457,0.001046709
67,27.58152542,0.82450922,0.087998813,0.001766747
68,164.0176438,0.136092264,0.614821149,0.000349841
69,1075.658222,0.021481084,4.213866426,5.66E-05
70,41.61572113,0.540309296,0.907204143,0.001379566
71,97.51689686,0.224736352,0.595048019,0.000722382
72,23.9580855,0.889065219,0.6896724,0.003406694
73,122.3791787,0.198329439,0.52879414,0.000379053
74,50.42575183,0.453709749,0.24872076,0.001092867
75,29.58851687,0.780873959,0.117956654,0.003015432
76,22.02275816,1.059694877,0.095663856,0.002355877
78,37.24833111,0.620073633,0.104214347,0.001365042
79,72.69695978,0.311287767,0.235464663,0.000810565
80,103.581269,0.216462217,0.488763475,0.000654273
81,45.38667012,0.509359747,0.57066555,0.008550462
82,51.7471325,0.444253347,0.248443608,0.00104821
83,88.37864614,0.257888032,0.33795585,0.000699601
84,45.57570457,0.513273967,0.519187609,0.011240033
85,335.7400511,0.068725677,1.50278549,0.00019452
86,48.87440661,0.47349048,0.222028468,0.001140814
87,213.1694723,0.106968535,0.829332917,0.000315027
88,34.50069482,0.673579084,0.173968813,0.001831452
89,69.25438883,0.391894854,0.22546055,0.0007689
90,25.65843806,0.884056581,0.115987058,0.002626954
91,49.61805484,0.44969243,0.387352936,0.001926403
92,39.34459924,0.565270234,0.203011247,0.002168121
94,50.92826008,0.443876241,0.259615649,0.001514272
96,92.68902972,0.241777872,2.121229687,0.000608269
