Strain number,Yfinal,FCfinal,WeightF,WeightY
1,41.62917631,0.508870487,0.282008186,0.003190094
2,21.70388902,0.960500188,0.073964619,0.003090098
3,236.574454,0.092963548,0.969921578,0.000305445
4,1181.371911,0.043775241,5.899918722,0.000426485
5,69.60356818,0.316479981,0.194863146,0.001318064
6,NaN,NaN,NaN,NaN
7,86.672918,0.281405987,2.116312949,0.001501431
8,2095.776284,0.013552246,11.85615111,6.78E-05
9,166.8818808,0.133638322,0.455678405,0.000678268
11,3738.161079,0.007387432,11.56713713,5.19E-05
12,2884.549624,0.008539426,12.96705052,6.01E-05
13,101.8935133,0.205329474,0.964504709,0.00058676
14,83.37816991,0.248033924,0.290951241,0.000827404
15,105.2915427,0.208556535,0.650584078,0.000706934
16,21.82453348,0.962345957,0.050071205,0.002544889
17,22.36986095,0.94209381,0.054032477,0.002490998
19,38.47270033,0.548334461,0.128482424,0.001739718
20,46.91648956,0.466620591,0.165224458,0.001938021
22,162.5774737,0.133115266,2.059748672,0.000739789
23,22.54988229,0.944646102,0.396635623,0.004247125
24,175.4631568,0.121193935,0.558342469,0.000582208
25,3761.869081,0.006809656,32.71277579,2.82E-05
26,119.3398097,0.184836386,2.518132402,0.000774727
28,127.8599279,0.171190479,0.795465373,0.000431999
29,57.81042512,0.373287497,0.232551135,0.001480096
30,219.419125,0.099992402,0.63022077,0.000232487
31,77.43586927,0.290409015,0.223349425,0.001167466
32,6768.598795,0.004272022,30.56807358,8.10E-05
33,67.0327693,0.324400464,1.770582911,0.001513662
34,1597.394748,0.014429554,10.87924687,9.17E-05
35,65.92086764,0.323564021,0.884069446,0.001432689
36,218.2980493,0.09945328,1.026294463,0.000430754
37,81.83685613,0.263467407,0.346361355,0.001135888
38,22.71220417,0.946180943,0.074707834,0.002946962
39,7624.576033,0.004196895,55.61630165,3.04E-05
40,7196.27068,0.005287386,29.95996294,4.86E-05
41,29.77431306,0.71416033,1.68144725,0.002010804
42,1472.693706,0.015361845,9.685728174,5.99E-05
43,384.2685051,0.056209667,1.970994695,0.000255296
44,137.561426,0.158913958,0.765468676,0.000941841
45,84.8012683,0.259610319,0.394968663,0.001860358
46,37.523826,0.622906328,0.141272154,0.045072007
47,112.3215386,0.200848895,0.840752976,0.00179782
48,59.29160333,0.382223103,0.216132645,0.003140393
49,49.26906762,0.449975665,0.372601005,0.003123428
50,51.84567632,0.411438829,0.381319131,0.001141963
51,42.98897059,0.506737899,0.308464912,0.001387123
53,83.64494135,0.263358264,0.49391572,0.001019371
54,21.39297607,1.010391721,0.054495832,0.003030376
55,106.8793005,0.204502889,0.325221577,0.001007681
56,113.342463,0.194526709,0.391206319,0.000871398
57,64.47484627,0.340417373,0.232228225,0.002162004
58,876.0806594,0.027111283,6.647062037,0.000263886
59,50.19303666,0.440271995,0.244907529,0.003027399
60,106.1476176,0.218708809,0.469706836,0.001508101
61,685.4131646,0.032435483,2.907636889,0.000103235
62,23.2462068,0.908836246,0.156188504,0.002470964
63,21.6723375,0.989691164,0.566936805,0.002598921
64,31.08144713,0.684559193,0.079523532,0.001910569
65,103.6703067,0.209287659,0.390916962,0.000489651
67,41.58091004,0.524879709,0.150447501,0.00176504
68,403.2376901,0.053461059,1.945230653,0.000256733
69,2737.335707,0.008735181,12.22122857,5.49E-05
70,53.32387537,0.4105484,1.009842362,0.003367012
71,236.2453053,0.09490492,1.669729883,0.000572377
72,22.98934179,0.941841308,0.201995783,0.006843152
73,360.6098035,0.060674473,2.215178712,0.000157126
74,128.9779075,0.170090144,0.69071481,0.000724033
75,63.47700587,0.337886075,0.25682398,0.001149888
76,22.00946264,0.997539193,0.076245874,0.002562269
78,64.93213064,0.338624916,0.134519185,0.001297369
79,151.6273428,0.151070975,0.430212992,0.000558762
80,241.9166093,0.093270591,1.203068321,0.000519986
81,69.09218903,0.323255183,0.52402375,0.001614477
82,109.5175925,0.202295124,0.486723025,0.001267838
83,187.6775567,0.118199781,0.87094874,0.000614176
84,76.27920188,0.295719489,0.694010714,0.001546751
85,921.3202243,0.025058317,5.90563223,0.000108281
86,110.8063445,0.194869293,0.718950567,0.000603624
87,468.5717732,0.04728303,2.039917901,0.000181618
88,62.21255853,0.359678802,0.368571734,0.001521721
89,161.6555249,0.162628789,0.753129532,0.000418731
90,35.25381092,0.619890776,0.17869393,0.002516714
91,82.22003035,0.272465987,0.618992393,0.001614671
92,73.35745968,0.305559312,0.402106924,0.001773462
94,104.526176,0.216540047,0.441438491,0.001071501
96,177.6083822,0.124069878,2.257111448,0.000561049
