Strain #,Yfinal,FCfinal,WeightF,WeightY
2,456.0514936,10.80311764,1.385843439,0.020566464
3,178.060109,11.92083842,0.425497969,0.027421075
4,23345.42941,1.792875504,40.62700245,0.003522052
6,2785.674718,6.658660865,6.466700125,0.013822938
10,1302.26923,12.80363618,3.706046757,0.025213378
11,561.8717792,16.02734888,1.764732436,0.027949918
13,2125.025243,9.341718704,6.354412539,0.015044713
15,209.749284,11.75763702,4.155774773,0.028914974
16,885.6808165,13.75821484,2.142125832,0.025692152
17,238.3160936,12.37336313,0.62323906,0.029691494
18,1086.356116,12.48540966,2.351504916,0.02352445
19,627.5349264,9.806741273,1.424302938,0.02023472
20,183.2642268,6.606666424,0.387259579,0.01641254
25,1525.735612,13.2138918,4.270942487,0.020684879
27,342.1315183,12.81274672,0.725487894,0.021207737
28,587.9127719,12.35513433,1.170376736,0.018814664
30,640.7346871,16.82033476,1.329978097,0.029027212
31,676.7877126,13.16964354,1.453833155,0.026717569
32,943.0791268,6.425349995,1.829977617,0.013386025
33,584.8646272,13.47249266,1.18323134,0.027880767
35,744.2080196,11.83927378,1.683086063,0.024263817
36,343.6157064,7.441632387,0.682683933,0.015876014
37,2318.080918,10.10153991,6.275024127,0.016046371
38,311.9704356,19.31415335,0.855930033,0.038972744
40,2975.247236,7.22877395,5.507507378,0.01132459
41,7036.50891,4.792336961,12.95726502,0.007027798
42,686.778388,15.42500983,1.910495204,0.026809906
43,344.2628086,22.49688226,0.771224138,0.040206862
44,121.6255335,12.18429895,0.259658753,0.046147976
45,1261.593125,9.805836541,2.572622977,0.016259924
48,385.4555846,12.5050374,0.806097938,0.025130263
49,2856.935409,7.96837393,5.699801621,0.012827291
50,424.7063663,12.35493509,1.308959374,0.0284106
52,816.2711532,11.21721892,1.745146539,0.017413184
53,17347.14051,2.660253552,27.96521877,0.004226855
54,2190.747387,9.378090178,5.296896971,0.014110906
55,1356.869889,12.90030485,2.897604991,0.024363596
59,2116.024192,8.663889789,5.209984992,0.017462735
63,549.1833496,11.41085212,3.182953163,0.02772282
64,383.9577576,12.81517262,1.511459458,0.025976133
68,96.29060566,14.0051646,0.488973691,0.036152137
69,15604.02333,2.603306853,27.20512765,0.004464814
72,1597.083246,9.078857744,7.732986244,0.015087472
73,9048.916814,3.496650459,19.0201528,0.005329955
75,710.1176471,14.61279763,1.559910371,0.028372451
78,5970.910402,5.174137344,9.243522364,0.007328347
79,364.6060229,13.45917851,1.878758937,0.031308241
81,13422.89206,2.887826224,18.49277001,0.004300543
82,723.8442287,10.74559122,4.38890394,0.024979531
85,1964.474851,6.428357114,4.429993223,0.012381883
88,411.2951222,10.48205884,1.196194546,0.022076773
89,7549.181654,3.868448378,13.15409527,0.005916998
90,2107.419383,9.048440507,4.306599586,0.013938004
91,674.9233482,12.73747047,1.492825597,0.024238825
92,106.878047,23.45374535,0.312035884,0.059335926
94,20007.93778,1.995195981,47.49196906,0.002834338
95,657.1940901,9.037520258,4.362321381,0.023942637
96,2343.359276,6.880706104,4.741690336,0.011181249
