Strain #,Yfinal,FCfinal,WeightF,WeightY
DL5p-1,1354.374738,0.027885729,3.670246822,0.000237303
DL5p-2,2342.800454,0.021363914,8.758691034,0.001477335
DL5p-4,647.8945227,0.056531809,2.671861564,0.00030948
DL5p-6,768.4235317,0.047250467,2.023984553,0.000197582
DL5p-7,1692.432568,0.021094621,4.931420835,0.000141316
DL5p-11,406.6317982,0.082249979,1.413288923,0.000466816
DL5p-12,827.72656,0.042812276,2.272371822,0.000320216
DL5p-13,1877.408207,0.020483109,5.839668361,0.000217277
DL5p-14,34.78396645,0.947500974,0.706622774,0.004347271
DL5p-16,1675.808196,0.023424091,6.648250552,0.000189561
DL5p-18,2055.534196,0.024249701,6.661578947,0.00015322
DL5p-19,1696.279384,0.026819298,7.002156989,0.000273468
DL5p-20,10518.2499,0.008461064,23.97829015,0.000155458
DL5p-21,3242.784471,0.018968054,11.4919952,0.000399746
DL5p-24,354.6538288,0.099532065,1.560332814,0.002156303
DL5p-25,873.6858363,0.040680924,2.214414285,0.000282019
DL5p-26,9163.140467,0.009066233,25.01990477,0.000157472
DL5p-27,677.5114977,0.054339612,3.797534672,0.000332833
DL5p-29,618.2798268,0.06100801,1.899238029,0.000247388
DL5p-30,381.3175975,0.107906812,1.110346473,0.012195695
DL5p-32,4301.508019,0.012760026,11.44982163,0.000152144
DL5p-35,947.3555447,0.061953266,19.69606222,0.00247294
DL5p-37,35.8056556,0.915220494,0.455863855,0.007345829
DL5p-38,677.777112,0.053085702,2.72472762,0.000274284
DL5p-39,676.9556808,0.05275274,2.829898298,0.000230274
DL5p-42,341.8059311,0.107862598,3.041482815,0.00037874
DL5p-48,722.668203,0.049439951,1.791140004,0.000272237
DL5p-51,2150.780189,0.018569499,9.636746331,0.000151755
DL5p-52,1176.663113,0.032722742,4.502471794,0.000244385
DL5p-53,9292.286905,0.013491362,30.29182296,0.000392936
DL5p-55,5734.386067,0.015624791,25.31416053,0.000241923
DL5p-56,2256.48278,NaN,9.461787609,NaN
DL5p-58,8694.617228,0.01786916,34.19265907,0.000308811
DL5p-59,335.2802623,0.109826433,4.355953434,0.000735381
DL5p-60,364.1744052,0.094653736,1.540036401,0.000466479
DL5p-65,5972.8021,0.01572705,22.15192128,0.000277298
DL5p-66,5915.562115,0.01410748,22.74627862,0.000248533
DL5p-67,2360.096014,NaN,10.16890065,NaN
DL5p-68,5727.881674,0.012508203,21.36110786,0.000228566
DL5p-69,2045.587054,0.019293582,5.431174393,0.000352874
DL5p-72,406.1337389,0.106636537,1.167833225,0.017494225
DL5p-74,502.2065197,0.073408644,1.566964503,0.000386946
DL5p-75,1141.778074,0.058700762,4.140323106,0.000797855
DL5p-76,565.972861,0.063034434,3.544247862,0.00059066
DL5p-77,1136.055604,0.033501198,3.722310542,0.000275833
DL5p-78,9087.732265,0.012467076,29.32343612,0.000226957
DL5p-80,1119.528778,0.032342923,4.110069461,0.000289329
DL5p-81,1102.079549,0.031276454,3.151655558,0.000334673
DL5p-82,10071.14314,NaN,27.91243451,NaN
DL5p-83,721.0244933,0.059581777,4.328105733,0.005230085
DL5p-86,3559.333359,0.011296621,9.83394661,0.000131522
DL5p-87,2021.602989,0.033219816,7.081578933,0.000385174
DL5p-88,634.0139732,0.057338476,2.01290153,0.000326566
DL5p-89,305.490481,0.112390494,0.940817678,0.000690486
DL5p-90,6700.044579,0.012082547,20.59255236,0.000176411
DL5p-91,796.4345221,0.049547278,3.424556864,0.000563798
DL5p-94,2110.196923,NaN,6.156623455,NaN
