Strain #,Yfinal,FCfinal,WeightF,WeightY
MngRp-1,49.98363536,0.615376456,0.170865402,0.002309201
MngRp-2,69.86705404,0.454631358,0.28923248,0.001814503
MngRp-3,76.2194617,0.407321085,0.287442155,0.001600982
MngRp-4,64.55275535,0.496529599,0.286666066,0.002288528
MngRp-5,75.89728008,0.419413176,0.302540729,0.002566002
MngRp-6,75.09019253,0.408938068,0.339895923,0.001628898
MngRp-7,71.3316894,0.449556578,0.297724792,0.003148257
MngRp-8,59.41659116,0.542858916,0.235592733,0.004179508
MngRp-9,29.18138239,1.100226468,0.123099531,0.006719046
MngRp-10,92.41252411,0.352178005,0.480640355,0.002172142
MngRp-11,138.7137965,0.234237057,0.634873053,0.001131699
MngRp-12,43.51749883,0.756997833,0.280390065,0.007635599
MngRp-15,111.8498381,0.293814537,0.568999726,0.001911903
MngRp-17,105.809447,0.303468817,0.422020527,0.001552545
MngRp-18,54.92937488,NaN,0.17432457,NaN
MngRp-20,81.83446336,0.391854467,0.337544515,0.002919315
MngRp-21,91.93697228,0.354627288,0.375645176,0.002094429
MngRp-22,55.71788803,0.59334062,0.211824825,0.004026706
MngRp-23,76.52211066,0.431373598,0.327980649,0.002744282
MngRp-24,65.15444015,0.509640548,0.436930323,0.005245482
MngRp-25,76.63434974,0.42067057,0.230644477,0.001413555
MngRp-26,75.70767201,0.435053425,0.284520478,0.001888365
MngRp-27,50.00054569,0.714480569,0.171810369,0.004253112
MngRp-30,29.2649972,NaN,0.081187786,NaN
MngRp-32,93.40265487,0.343924609,0.303421065,0.001966918
MngRp-33,98.10315408,0.333526862,0.416203964,0.002647509
MngRp-34,94.57675414,0.346628599,0.366366871,0.004158213
MngRp-35,83.59518417,0.397636891,0.339361691,0.001902771
MngRp-36,134.2156585,0.248461667,0.802811573,0.002196328
MngRp-38,64.63648694,0.51514621,0.236185273,0.002008844
MngRp-40,76.30477686,0.432542473,0.31504936,0.001912456
MngRp-41,75.63260341,0.445622391,0.270986917,0.001943514
MngRp-42,76.9857636,NaN,0.247087934,NaN
MngRp-43,85.98783501,0.383108613,0.303629889,0.001341842
MngRp-44,113.0887825,0.294124944,0.417521921,0.00091916
MngRp-45,81.76653819,0.410438234,0.300077751,0.001330846
MngRp-46,47.658753,0.692590531,0.218055227,0.002891232
MngRp-47,84.53079578,0.388722671,0.390448059,0.001771288
MngRp-48,60.11153199,0.562106161,0.300480093,0.003511883
MngRp-49,90.0642982,0.378032821,0.502515078,0.00240474
MngRp-50,80.45410152,0.420685126,0.331865097,0.002216699
MngRp-51,52.77422917,0.63807836,0.198774558,0.002537999
MngRp-52,46.85369955,0.717259865,0.21586095,0.003543822
MngRp-53,89.38681423,0.390126213,0.312827614,0.011507482
MngRp-55,91.04854287,0.364793083,0.333227271,0.002207025
MngRp-56,82.52592777,0.402561966,0.278537039,0.002415117
MngRp-57,87.55100671,0.377231212,0.472325608,0.001928449
MngRp-58,103.7782557,0.322112785,0.463632441,0.001464381
MngRp-59,76.49547852,0.44868339,0.420538873,0.004411282
MngRp-65,87.99714286,0.388544018,0.788016255,0.001786124
MngRp-66,80.07922575,0.40824477,0.490771484,0.002313072
MngRp-68,154.5991801,0.216293033,0.695867737,0.00126994
MngRp-69,90.06436887,0.389198044,0.52313301,0.003225503
MngRp-70,118.9689808,0.285354946,0.754258597,0.001677271
MngRp-71,84.06580167,0.402089854,0.468351819,0.002718651
MngRp-72,110.9823213,0.306873749,1.184864489,0.003004094
MngRp-73,43.02372583,0.806021208,0.29507774,0.005647042
MngRp-74,81.95418194,0.41282564,0.403810664,0.00200937
MngRp-75,66.33679895,0.520037591,0.409602355,0.002854619
MngRp-76,94.87339818,0.359659117,0.721133251,0.0017091
MngRp-77,94.46997011,0.370882239,0.573964593,0.001987276
MngRp-78,157.7123849,0.218936995,1.217104212,0.001238017
MngRp-79,95.80910618,0.359719994,0.510350287,0.001978582
MngRp-80,77.89458075,0.433443027,0.585259152,0.0017845
MngRp-81,96.03412768,0.352872916,0.674726443,0.002181507
MngRp-82,31.25758342,1.067729627,0.248991288,0.00622084
MngRp-83,29.95740289,1.118105821,0.166170311,0.007493036
MngRp-84,100.9835249,0.333035531,0.880356318,0.002902424
MngRp-85,80.57893608,0.409486364,0.564359452,0.001671461
MngRp-86,104.47557,0.320673437,0.506000548,0.001100721
MngRp-87,46.31848568,0.774927922,0.133283386,0.012261121
MngRp-88,62.67491665,0.529545924,0.184316778,0.003102123
MngRp-89,65.41929773,0.526397598,0.543978719,0.00324321
MngRp-90,92.14403717,0.370707797,0.867187753,0.001741715
MngRp-91,72.31219584,0.465960787,0.274856166,0.003654748
MngRp-92,71.33191035,0.472797711,0.403425622,0.003937813
MngRp-93,113.4328522,NaN,0.556365964,NaN
MngRp-94,93.32834994,NaN,0.887369476,NaN
MngRp-95,74.93387178,0.44574782,0.666732887,0.002597813
MngRp-96,118.0383154,NaN,0.840521488,NaN
