Strain #,Yfinal,FCfinal,WeightF,WeightY
1,35.86666667,0.92162617,4.889592652,0.002845283
2,60.19857434,0.428236164,1.002826919,0.00071246
4,1795.192414,0.024550582,16.02941534,0.000269741
5,397.3062341,0.112048697,4.665283095,0.000339174
7,3296.657456,0.02583628,44.47295113,0.000112188
8,7851.707767,0.013858083,54.12646387,5.73029E-05
9,6881.17415,0.017300962,85.03870265,0.000145782
10,5884.702567,0.011208432,88.41288216,7.91711E-05
11,4862.592692,0.009430689,96.22707797,7.0969E-05
14,3043.432904,0.019375258,56.86670878,5.16968E-05
16,1458.549332,NaN,9.403133736,NaN
17,828.1218616,0.041862436,11.23294613,0.000166754
18,891.0870111,0.035737924,3.643084584,9.49862E-05
19,25148.31073,NaN,317.3914518,NaN
20,8927.886988,0.02015417,123.5516119,9.35469E-05
21,1638.646465,0.030416753,49.77112799,0.000163256
22,8748.050575,0.008075577,323.427602,5.07525E-05
25,2820.255461,0.013348166,41.36650809,6.10867E-05
26,2465.552936,0.021966007,17.48363116,7.6953E-05
27,2816.658771,0.015145704,20.76256911,5.11485E-05
28,2338.163609,0.022525724,15.81292261,0.000127679
29,922.7135808,0.039858035,7.046401486,0.000187735
30,2655.9794,0.018050771,12.97024681,0.000104897
31,767.8577457,0.041813142,3.312650279,0.000293022
32,2438.530959,0.020602713,10.66450377,0.000138768
33,1436.923439,0.021908153,29.13637042,8.7782E-05
34,1703.04644,0.016781038,31.56695059,0.0001168
35,1744.686636,0.018373816,49.57004072,0.00027129
36,3689.65097,0.012609568,143.9421339,0.000205195
38,903.8915049,0.034851041,9.852523532,0.000162146
39,6015.886743,0.009493525,115.0874868,4.39271E-05
40,727.9280822,0.04140276,8.988100325,0.000113984
41,397.8770562,0.077296174,4.305330018,0.000461532
42,2583.560197,0.016396842,59.27941662,5.28495E-05
44,983.5726179,0.028367761,17.34442011,0.000197604
47,1108.981308,0.02568899,33.27903932,0.000103735
50,1008.688039,0.038077486,8.074171589,0.000454057
51,1669.177285,0.032365298,18.83470905,0.000171151
52,391.204142,0.073818452,2.378483785,0.000435042
53,888.9241223,0.037097729,9.432436814,0.000163888
54,947.2546286,0.034449475,8.730817569,0.000106792
55,2364.715845,0.022379564,20.23945086,0.000187663
56,483.1701299,0.06283871,10.60237013,0.000418022
63,2736.271487,0.037878602,25.50957751,0.000281099
64,860.4523342,0.036197693,7.397109167,0.000207073
67,451.5169925,0.087351043,4.512971855,0.000589388
68,11712.72736,0.015017161,150.8544099,0.000192227
70,1024.383803,0.028751277,39.19748913,0.000298149
73,206.2445559,0.167612405,1.264287641,0.00054084
79,1308.055319,0.028284265,14.90488503,0.00014051
81,2369.684211,0.014512365,67.82930269,0.000469527
82,6830.987562,0.0119555,246.6627459,0.000109618
85,504.7363656,0.109066612,2.834804807,0.000409919
86,1301.987003,0.034480212,9.924237588,0.000141356
88,2480.989525,0.02772254,40.51839502,0.000794945
89,164.5861469,0.188366362,0.6300827,0.00218753
