Strain #,Yfinal,FCfinal,WeightF,WeightY
4,181.5814899,11.45909509,0.738011339,0.027667772
6,12813.72844,2.011752774,55.47666485,0.007751723
8,89.83521283,2.630627288,1.210547918,0.011152741
11,195.0042412,12.41649192,2.039177773,0.043177016
13,323.5760197,32.14990174,1.14461586,0.189789258
16,567.198851,NaN,2.336550316,NaN
17,127.0300642,NaN,0.485633578,NaN
20,5803.29524,3.69909484,16.19046132,0.014478514
22,90.94483154,5.813418439,0.819322163,0.054692647
25,83.96875713,8.039595438,0.370061933,0.032250325
29,6348.759733,NaN,23.23105016,NaN
30,13299.69479,1.664822093,42.02218186,0.006344859
32,20035.89529,NaN,59.65347339,NaN
33,4393.120716,3.384961999,13.24983047,0.00987111
35,6504.409133,3.174736943,22.70122719,0.011437526
36,625.1947978,10.81127606,3.461674408,0.058108288
37,157.3256405,NaN,1.082411754,NaN
39,1202.093772,10.23923033,6.238939181,0.027205973
41,3549.278738,4.735343386,8.871687684,0.014670779
42,18361.38635,1.464408456,88.37872003,0.005063796
43,833.4530361,1.015036773,25.27528739,0.012392754
44,1175.97847,0.979513429,3.943187511,0.004278807
49,428.5293095,NaN,5.846771093,NaN
51,6680.575926,3.540458829,20.56946355,0.00995862
52,729.335108,6.370619318,10.98804564,0.019120551
54,4926.391491,2.322073813,24.09286952,0.017688256
55,8903.188191,2.612330255,33.96050139,0.010744781
57,147.8940471,4.853055214,3.686408059,0.059475626
58,237.152084,15.97672879,1.221923529,0.053661133
62,220.4378719,6.816904978,1.643802632,0.026558433
64,266.7354214,8.096148498,1.179298951,0.031896046
65,111.1180208,9.068377542,0.736759723,0.046863744
72,170.9325144,11.79124155,2.453914103,0.044122769
74,59.30105002,9.275339118,0.255543004,0.211698245
78,210.6136186,6.519087526,1.866580856,0.037406024
79,137.2477428,7.080906943,0.551863468,0.025773074
80,12898.74901,2.337103905,48.68809154,0.015033494
81,8168.742968,2.459541776,29.56564547,0.01356382
82,11659.31694,2.21474029,34.1575364,0.010609045
84,80.31783715,5.650487689,2.331032237,0.028426781
85,476.6981684,6.967572306,2.377951815,0.02255294
86,5505.106736,2.811800576,24.93429235,0.007935256
88,2401.756824,6.628737261,10.61235866,0.019981482
91,657.3367108,12.67512482,3.64653006,0.065703873
92,568.0482324,13.09131483,1.713328486,0.063666382
94,228.4286382,7.3039573,7.933336279,0.03865296
95,1440.476693,2.723671703,3.875284201,0.01181456
