Strain #,Yfinal,FCfinal,WeightF,WeightY
1,29.13215545,28.80835865,0.119089199,0.178927809
2,37.99189632,NaN,0.186689037,NaN
3,50.44457744,32.86178575,0.328916253,0.122847067
4,55.82228817,NaN,0.190563972,NaN
5,83.148185,24.90211372,0.286916738,0.092700625
6,63.21435291,25.97868628,0.271535694,0.109313187
7,36.9638525,32.64025211,0.221258448,0.126831764
8,42.53125154,22.9458626,0.264369283,0.080667452
9,74.42285843,NaN,0.246700025,NaN
10,37.61260366,NaN,0.217076012,NaN
11,21.70519297,NaN,0.129325837,NaN
12,38.9559835,NaN,0.240337792,NaN
13,70.85500901,NaN,0.27547534,NaN
14,44.62302173,32.52453498,0.148224193,0.107028827
15,71.25676149,23.71864352,0.394706379,0.081875187
16,78.34876903,NaN,0.30260761,NaN
17,44.32189278,NaN,0.179628071,NaN
18,38.94395797,24.72553586,0.339034631,0.080124143
19,71.03205954,20.84844746,0.389396714,0.153943385
20,224.746928,12.40449248,0.714741755,0.037126839
21,47.43969782,43.79208463,0.217582308,0.15050345
22,27.9902929,45.72310886,0.166754492,0.140996404
23,74.05544656,NaN,0.365402822,NaN
24,91.87341064,NaN,0.579572072,NaN
25,73.70863184,18.54112848,0.23135814,0.17356623
26,37.59401646,NaN,0.2506176,NaN
27,16.52544566,NaN,0.184521071,NaN
28,33.21476048,NaN,0.231245566,NaN
29,59.82925759,NaN,0.422571523,NaN
30,28.43021559,38.7831029,0.206464142,0.335617772
31,49.75159681,41.12226372,0.374278869,0.179892674
32,50.64831945,NaN,0.271977941,NaN
33,54.50073267,NaN,0.402776225,NaN
34,46.63290219,NaN,0.432259177,NaN
35,20.9147539,33.85626688,0.206218096,0.14594685
36,43.05052082,48.21426429,0.295856312,0.18239729
37,89.05744244,26.35065729,0.337548372,0.265923177
38,78.67305797,NaN,0.355349184,NaN
39,66.10334425,NaN,0.434322275,NaN
40,33.99770491,NaN,0.224252948,NaN
41,90.20653406,NaN,0.512185215,NaN
42,29.49969513,9.855364996,0.497472431,0.109401506
43,111.573312,23.91474267,0.869753508,0.111541847
44,122.9230618,NaN,1.065511062,NaN
45,196.9281294,NaN,0.919899577,NaN
46,157.6994032,NaN,1.080473707,NaN
47,71.4979068,36.97372756,0.662810235,0.113167845
48,81.46372803,42.15124448,1.129213094,0.131674027
49,53.20174958,35.39562803,0.18667259,0.100983801
50,15.44293187,7.196797475,0.200341701,0.135847664
51,31.88757397,46.59648579,0.138293377,0.290793863
52,90.98816354,NaN,0.592649234,NaN
53,55.97338132,NaN,0.337571805,NaN
54,34.47159327,61.60081108,0.233926758,0.31396311
55,40.22160286,32.61308175,0.353391585,0.150579352
56,36.19253769,NaN,0.281649225,NaN
57,78.83417148,24.91448143,0.607735318,0.077359037
58,203.8873078,10.94341217,1.470512271,0.037164719
59,69.82811442,35.44247454,0.566837298,0.101221901
60,49.62369147,NaN,0.244748943,NaN
61,246.9295507,NaN,0.944503904,NaN
62,45.80633363,NaN,0.32360412,NaN
63,135.98054,NaN,0.634159151,NaN
64,56.3162413,16.32078955,0.377444952,0.069854513
65,139.3713915,NaN,0.972359939,NaN
66,68.03789741,42.52375022,0.497248723,0.130955079
67,58.13755717,34.02830785,0.526395569,0.25100871
68,47.87337696,35.47058462,0.21594592,0.203941092
70,50.97677952,NaN,0.40277168,NaN
71,80.61672489,NaN,0.507207319,NaN
72,85.80859426,22.53994547,0.462070613,0.082236601
73,64.16224656,33.12394705,0.248467467,0.110136956
74,23.73920612,NaN,0.145944056,NaN
75,40.84197239,NaN,0.187344804,NaN
76,66.13716351,NaN,0.364541539,NaN
77,11.03045403,NaN,0.278644418,NaN
78,87.7427022,23.13966347,0.501940893,0.091511794
79,37.0072943,57.59581516,0.310179594,0.439819509
80,26.10978918,51.4307396,0.238072645,0.299493198
81,76.92815409,27.05388712,0.413247693,0.139809463
82,46.62301796,NaN,0.334989178,NaN
83,59.0695748,NaN,0.431719318,NaN
84,33.55184026,38.6205549,0.24144617,0.145740839
85,43.4661429,NaN,0.137018813,NaN
86,48.63694711,NaN,0.163737238,NaN
88,128.8115698,13.72917775,0.579379222,0.046659539
89,32.14179745,NaN,0.203868439,NaN
90,54.66222766,NaN,0.222291734,NaN
91,79.74622431,NaN,0.471820303,NaN
92,37.23677282,NaN,0.243111688,NaN
93,34.37166155,NaN,0.255056621,NaN
94,243.6345238,NaN,1.266781076,NaN
95,39.26286746,NaN,0.319853146,NaN
96,51.8056811,NaN,0.282695231,NaN
