Strain #,Yfinal,FCfinal,WeightF,WeightY
1,31.19550228,1.041764992,0.06797165,0.003506022
2,32.7742489,0.981170393,0.059240038,0.002220817
3,32.11397041,1.033893908,0.072729348,0.002279867
4,32.62797018,1.007914718,0.068642975,0.002442977
5,32.51119552,1.052147356,0.067706324,0.002473934
6,32.80764275,1.053920738,0.064909512,0.002447862
7,35.17823511,0.945701992,0.069259945,0.001802569
8,43.84640577,0.731400629,0.120710412,0.002399334
9,31.80017827,1.098746587,0.065244537,0.003438873
10,32.28487468,0.996522115,0.096613869,0.002702903
11,35.99008861,0.922685265,0.078291501,0.002601087
12,31.35928597,NaN,0.063915472,NaN
13,32.61670139,1.05659649,0.067567288,0.002519707
14,32.14299909,1.05267703,0.065935303,0.002353691
15,30.38234625,1.124841081,0.066868309,0.002332119
16,32.22679319,NaN,0.077294655,NaN
17,34.50850377,0.926971781,0.075589902,0.003128843
18,89.31108012,0.363590586,0.288383849,0.000932033
19,31.22914915,1.046938546,0.061410139,0.002766922
20,31.23916365,1.054977652,0.06490868,0.003460972
21,32.1822334,1.070193723,0.066029874,0.002533982
22,34.16962203,0.976243614,0.075942324,0.002454742
23,32.0272433,1.023285376,0.081222935,0.002320708
24,31.93691698,0.992834932,0.081389244,0.003613285
25,32.04069814,1.005011989,0.065279234,0.00405808
26,32.34290712,0.977710679,0.083425437,0.002625655
27,31.7379965,1.045159244,0.072801321,0.002938419
28,31.80445743,1.047245185,0.078351118,0.002567717
29,31.1722973,1.066717139,0.083423858,0.002755241
30,31.77174413,1.036253582,0.098154582,0.002679091
31,35.51074012,0.921606175,0.090587744,0.002220589
32,34.13783332,0.942518784,0.080172605,0.002411795
33,33.22391045,0.98507194,0.075874226,0.003185323
34,68.04139776,0.482628457,0.327099095,0.001416297
35,31.66077124,1.032604993,0.078392534,0.003609848
36,37.20260387,0.898876614,0.122364083,0.002546638
37,33.81697285,0.989339811,0.134205974,0.003288185
38,32.77546822,1.008436941,0.093266862,0.003090444
39,31.9928042,1.002920122,0.076086736,0.002463055
40,32.3286817,0.979883095,0.074930694,0.003379409
41,33.93921396,NaN,0.082107351,NaN
42,31.54310285,NaN,0.089599255,NaN
43,36.40396864,0.8723447,0.099838888,0.003124303
44,31.64303701,NaN,0.089633234,NaN
45,32.08717164,NaN,0.098088438,NaN
46,32.09465063,NaN,0.074833822,NaN
47,31.3583181,1.037571938,0.083991855,0.002844001
48,32.50899667,0.998435352,0.064417717,0.002608997
